token	segmentation	root
hoy	hoy	hoy
Hubo	H<u>b o	H<u>b
huevos	huev o s	huev
Humor	Humor	Humor
hunda	hund a	hund
huracán	huracán	huracán
idea	ide a	ide
idearon	ide aron	ide
ideas	ide a s	ide
ido	id o	id
ilegal	i legal	legal
ilícitas	i lícit a s	lícit
ilimitadas	i limit ad a s	limit
imperio	imperi o	imperi
imploró	im plor ó	plor
importa	im port a	port
importe	im port e	port
IMPOSIBLE	IM POS IBLE	POS
imprescriptibles	im prescript ible s	prescript
Imprimir	Im prim ir	prim
Impunidad	Im pun idad	pun
Inaceptable	In acept able	acept
incalculable	in calcul able	calcul
incluido	in clu id o	clu
incluye	in clu ye	clu
incluyendo	in clu yendo	clu
incluyeron	in clu yeron	clu
incrementar	in crement ar	crement
indeclinable	in declin able	declin
indemniza	in demn iz a	demn
indica	indic a	indic
índice	índice	índice
Indicó	Indic ó	Indic
Indios	Indi o s	Indi
Indudablemente	In dud able mente	dud
indultos	indult o s	indult
industrial	industri al	industri
industrias	industri a s	industri
infamia	in fam i a	fam
inferior	infer ior	infer
infiel	in fiel	fiel
influenza	influenz a	influenz
informado	in form ad o	form
informaron	in form aron	form
Infórmate	In fórm a te	fórm
informe	in form e	form
inicialmente	inicial mente	inicial
iniciar	inici ar	inici
inmediata	inmediat a	inmediat
inmenso	inmens o	inmens
inmigración	in migr ación	migr
inocente	i noc ente	noc
inseguridad	in segur idad	segur
insensibilidad	in sensibil idad	sensibil
instaba	inst aba	inst
Institutores	Institut or es	Institut
instrumento	instrument o	instrument
instruyera	instru yera	instru
intelectual	inte lect ual	lect
inteligencia	inte lig enci a	lig
intenciones	intencion es	intencion
Intenso	Intens o	Intens
intento	inten to	inten
intercepciones	inter cep cion es	cep
interceptadas	inter cep tad a s	cep
interés	interés	interés
interminables	in termin able s	termin
internacional	inter nacion al	nacion
internacionales	inter nacion al es	nacion
Internos	Intern o s	Intern
interrogantes	inte rrog ant es	rrog
intestinos	intestin o s	intestin
intrépidos	intrépid o s	intrépid
inundarse	inund ar se	inund
inventó	inven tó	inven
investigado	in vestig ad o	vestig
investigadores	in vestig ador es	vestig
investigar	in vestig ar	vestig
invitamos	in vit amos	vit
involucradas	in volucr ad a s	volucr
involucran	in volucr an	volucr
ir	ir	ir
iraní	iran í	iran
islámica	islám ic a	islám
israelí	israel í	israel
Israelitas	Israel it a s	Israel
jamas	jamas	jamas
japonés	japon és	japon
Jefe	Jefe	Jefe
jefes	jefe s	jefe
joder	jod er	jod
jodido	jod id o	jod
jornada	jorn ad a	jorn
joven	joven	joven
jóvenes	j<ó>ven es	j<ó>ven
juego	j<ue>g o	j<ue>g
jugar	jug ar	jug
julio	juli o	juli
junio	juni o	juni
junto	junt o	junt
justificar	just ific ar	just
juzgar	juzg ar	juzg
kilogramos	kil o gram o s	gram
kilos	kil o s	kil
kirchneristas	kirchner ista s	kirchner
laborales	labor al es	labor
laburo	labur o	labur
laderas	lader a s	lader
langosta	langost a	langost
lanzamiento	lanz amient o	lanz
lanzar	lanz ar	lanz
latina	latin a	latin
latinos	latin o s	latin
lavado	lav ad o	lav
lealtad	leal tad	leal
Lechería	Lech erí a	Lech
Legajos	Legaj o s	Legaj
legisladores	legis lador es	legis
lejano	lej an o	lej
lejos	lejos	lejos
leon	leon	leon
lesbianas	lesbian a s	lesbian
lesionado	lesion ad o	lesion
letrada	letr ad a	letr
levantamos	levant amos	levant
leyó	le yó	le
Liberación	Liber ación	Liber
liberadas	liber ad a s	liber
liberal	liber al	liber
liberamos	liber amos	liber
Libertadores	Libert ador es	Libert
libras	libr a s	libr
libre	libre	libre
libro	libr o	libr
liderazgo	lider azg o	lider
líneas	líne a s	líne
listo	list o	list
llamadas	llam ad a s	llam
llamarlos	llam ar los	llam
llame	llam e	llam
llegar	lleg ar	lleg
Llegó	Lleg ó	Lleg
llegue	llegu e	llegu
Llegué	Llegu é	Llegu
llena	llen a	llen
llenas	llen a s	llen
llevaba	llev aba	llev
Llevados	Llev ad o s	Llev
LLEVAN	LLEV AN	LLEV
llevando	llev ando	llev
llevandolos	llev ando los	llev
llevandosela	llev ando se la	llev
llevó	llev ó	llev
llover	llov er	llov
local	loc al	loc
localidades	loc al idad es	loc
locura	loc ur a	loc
lógica	lógic a	lógic
Logramos	Logr amos	Logr
logran	logr an	logr
logró	logr ó	logr
LOS	LOS	LOS
lucha	luch a	luch
luchando	luch ando	luch
luchar	luch ar	luch
lucraron	lucr aron	lucr
Luego	Luego	Luego
lugar	lugar	lugar
Luna	Lun a	Lun
lunes	lunes	lunes
luto	lut o	lut
madre	madre	madre
madrugada	madrug ad a	madrug
madurando	madur ando	madur
magnifica	magn ific a	magn
mago	mag o	mag
Mal	Mal	Mal
MALA	MAL A	MAL
malagueña	malagu eñ a	malagu
malo	mal o	mal
mandaba	mand aba	mand
mando	mand o	mand
manejador	manej ador	manej
manejarse	manej ar se	manej
Manejo	Manej o	Manej
manera	maner a	maner
MANGO	MANG O	MANG
manías	maní a s	maní
manifestantes	manifest ante s	manifest
mantener	man ten er	ten
mantengan	man ten gan	ten
mantiene	man t<ie>n e	t<ie>n
MANTO	MANT O	MANT
Mar	Mar	Mar
Maravilla	Maravill a	Maravill
marcada	marc ad a	marc
marcha	march a	march
marihuana	marihuan a	marihuan
Marina	Marin a	Marin
martes	martes	martes
MARTILLO	MARTILL O	MARTILL
Más	Más	Más
masacre	masacre	masacre
masticar	mastic ar	mastic
matar	mat ar	mat
mataron	mat aron	mat
maten	mat en	mat
material	materi al	materi
Matina	Matin a	Matin
Mato	Mat o	Mat
máxima	máxim a	máxim
mayo	may o	may
Mayor	Mayor	Mayor
mayormente	mayor mente	mayor
medalla	medall a	medall
medallistas	medall ista s	medall
Media	Medi a	Medi
médico	médic o	médic
medidas	med id a s	med
medios	medi o s	medi
mejor	mejor	mejor
mejoramiento	mejor amient o	mejor
memoria	memori a	memori
mencionadas	mencion ad a s	mencion
menguaron	mengu aron	mengu
meningitis	mening itis	mening
menor	menor	menor
menores	menor es	menor
MENOS	MENOS	MENOS
Mensaje	Mensaje	Mensaje
mentira	mentir a	mentir
meramente	mer amente	mer
mercaderia	mercad eri a	mercad
Mercado	Mercad o	Mercad
mercados	mercad o s	mercad
merced	merced	merced
mercurio	mercuri o	mercuri
merecen	merec en	merec
meteorológico	meteor ológ ic o	meteor
meter	met er	met
meterse	met er se	met
metodos	metod o s	metod
Metropolitana	Metropoli tan a	Metropoli
metros	metr o s	metr
mexicano	mexic an o	mexic
miembros	miembr o s	miembr
mientras	mientras	mientras
mil	mil	mil
milicianas	mili cian a s	mili
militar	milit ar	milit
millares	millar es	millar
millones	millon es	millon
ministro	ministr o	ministr
mintieron	m<i>nt ieron	m<i>nt
MINUTO	MINUT O	MINUT
mira	mir a	mir
miserable	miser able	miser
MISERIA	MISERI A	MISERI
MISMAS	MISM A S	MISM
mismos	mism o s	mism
modelo	model o	model
moderna	modern a	modern
mono	mon o	mon
Montaña	Montañ a	Montañ
monzónicas	monzónic a s	monzónic
morir	mor ir	mor
mortales	mort al es	mort
morteros	morter o s	morter
mosquitos	mos<q>u it o s	mos<q>u
moverse	mov er se	mov
movida	mov id a	mov
móvil	móvil	móvil
mucha	much a	much
muchachito	muchach it o	muchach
Muchas	Much a s	Much
muchísimo	much ísim o	much
mucho	much o	much
muchos	much o s	much
Muera	M<ue>r a	M<ue>r
mueran	m<ue>r an	m<ue>r
Muere	M<ue>r e	M<ue>r
Mueren	M<ue>r en	M<ue>r
muertas	m<ue>rt a s	m<ue>rt
muestras	m<ue>str a s	m<ue>str
mujeres	mujer es	mujer
multas	mult a s	mult
MUNDIAL	MUND IAL	MUND
mundo	mund o	mund
murieran	m<u>r ieran	m<u>r
murieron	m<u>r ieron	m<u>r
murió	m<u>r ió	m<u>r
musulmán	musulm án	musulm
mutilaron	mutil aron	mutil
mutual	mutu al	mutu
nacientes	nac iente s	nac
nació	nac ió	nac
Nación	Nación	Nación
Naciones	Nacion es	Nacion
Nada	Nada	Nada
Nadie	Nadie	Nadie
Naranjo	Naranj o	Naranj
narcotraficantes	narco trafic ante s	trafic
Narro	Narr o	Narr
naturales	natural es	natural
navales	naval es	naval
nazista	naz ista	naz
necesaria	neces ari a	neces
necesario	neces ari o	neces
necesarios	neces ari o s	neces
necesidades	neces idad es	neces
necesita	necesit a	necesit
Necesitamos	Necesit amos	Necesit
necesitan	necesit an	necesit
negado	neg ad o	neg
negarle	neg ar le	neg
negarse	neg ar se	neg
negocio	negoci o	negoci
negocios	negoci o s	negoci
negro	negr o	negr
nena	nen a	nen
neoyorquinos	neo yor<q>u in o s	yor<q>u
nesesidades	neses idad es	neses
neutralizan	neutr al iz an	neutr
nevado	nev ad o	nev
ni	ni	ni
nicaragüense	nicarag<ü> ense	nicarag<ü>
niebla	niebl a	niebl
niega	n<ie>g a	n<ie>g
nietos	niet o s	niet
niña	niñ a	niñ
ningún	ningún	ningún
Niño	Niñ o	Niñ
niños	niñ o s	niñ
nitrato	nitrat o	nitrat
nivel	nivel	nivel
no	no	no
nombrados	nombr ad o s	nombr
nombras	nombr a s	nombr
norcoreanos	nor core an o s	core
notificaron	not ific aron	not
noviembre	noviembre	noviembre
novios	novi o s	novi
nucleares	nuclear es	nuclear
NUEVA	NUEV A	NUEV
nuevos	nuev o s	nuev
número	númer o	númer
numerosas	numer os a s	numer
numerosos	numer os o s	numer
nunca	nunca	nunca
obligación	oblig ación	oblig
obligó	oblig ó	oblig
obras	obr a s	obr
obreros	obr er o s	obr
observaron	observ aron	observ
observen	observ en	observ
obstáculos	obstácul o s	obstácul
obstruir	ob stru ir	stru
obtener	ob ten er	ten
Obviamente	Obvi amente	Obvi
ocasionadas	oca sion ad a s	oca
ocasionado	oca sion ad o	oca
Ocho	Ocho	Ocho
ocurrido	ocurr id o	ocurr
Odio	Odi o	Odi
oeste	oeste	oeste
oferta	ofert a	ofert
oficial	oficial	oficial
oficiales	oficial es	oficial
oficialista	oficial ista	oficial
ofrece	ofrec e	ofrec
oigas	oi gas	oi
ojo	oj o	oj
olvidar	olvid ar	olvid
olviden	olvid en	olvid
Once	Once	Once
operan	oper an	oper
opinar	opin ar	opin
opinión	opinión	opinión
opio	opi o	opi
oportunamente	oportun amente	oportun
OPOSITORAS	OPOSIT OR A S	OPOSIT
orales	oral es	oral
orden	orden	orden
ordenanzas	orden anz a s	orden
ordenes	orden e s	orden
ordenó	orden ó	orden
ordinario	ordin ari o	ordin
organisacion	organis acion	organis
organizada	organiz ad a	organiz
organizados	organiz ad o s	organiz
organizó	organiz ó	organiz
orientado	orient ad o	orient
oriental	orient al	orient
oscuridad	oscur idad	oscur
otra	otr a	otr
otras	otr a s	otr
Otro	Otr o	Otr
OTROS	OTR O S	OTR 
oye	o ye	o
padecimiento	padec imient o	padec
paga	pag a	pag
pagados	pag ad o s	pag
pagan	pag an	pag
pagarle	pag ar le	pag
pago	pag o	pag
país	país	país
paises	pais es	pais
paja	paj a	paj
palabras	palabr a s	palabr
palacio	palaci o	palaci
panameña	panam eñ a	panam
papel	papel	papel
para	para	para
paralelo	paralel o	paralel
paralización	paral iz ación	paral
Parece	Parec e	Parec
parecía	parec ía	parec
parecían	parec ían	parec
parecio	parec io	parec
pared	pared	pared
Parque	Parque	Parque
partes	parte s	parte
participantes	particip ante s	particip
participó	particip ó	particip
partida	part id a	part
Partido	Part id o	Part
partir	part ir	part
pasajeros	pasaj er o s	pasaj
pasar	pas ar	pas
pasara	pas ara	pas
pasaría	pas aría	pas
pasaron	pas aron	pas
pase	pas e	pas
paseando	pase ando	pase
Pasen	Pas en	Pas
pasmado	pasm ad o	pasm
Paso	Pas o	Pas
pasos	pas o s	pas
pata	pat a	pat
patata	patat a	patat
Paz	Paz	Paz
pecuarias	pecu ari a s	pecu
pedido	ped id o	ped
pega	peg a	peg
peleando	pele ando	pele
peleas	pele a s	pele
penal	pen al	pen
pendiente	pend iente	pend
pensas	pens as	pens
pequenas	pequen a s	pequen
perdieron	perd ieron	perd
perfecto	perfect o	perfect
periodistas	period ista s	period
periodo	period o	period
período	períod o	períod
permanente	perman ente	perman
permite	permit e	permit
permitió	permit ió	permit
permitir	permit ir	permit
permitiria	permit iria	permit
Pero	Pero	Pero
perpetua	perpetu a	perpetu
perras	perr a s	perr
perro	perr o	perr
perros	perr o s	perr
PERSIGUEN	PER S<I>GU EN	S<I>GU
persiguiendo	per s<i>gu iendo	s<i>gu
persiste	persist e	persist
persisten	persist en	persist
persona	person a	person
peruano	peru an o	peru
pescuesos	pescues o s	pescues
petróleo	petróle o	petróle o
piden	p<i>d en	p<i>d
PIDIENDO	P<I>D IENDO	P<I>D
pie	pie	pie
piedad	pi edad	pi
Piezas	Piez a s	Piez
pinche	pinch e	pinch
pinga	ping a	ping
pingueros	pinguer o s	pinguer
piojos	pioj o s	pioj
pistas	pist a s	pist
plaga	plag a	plag
planeó	plan e ó	plan
planes	plan es	plan
plastica	plastic a	plastic
plástico	plástic o	plástic
plata	plat a	plat
plenamente	plen amente	plen
pleno	plen o	plen
pliegues	pl<ie>gue s	pl<ie>gue
poblados	pobl ad o s	pobl
pobres	pobre s	pobre
poco	poc o	poc
pocos	poc o s	poc
podamos	pod amos	pod
podemos	pod emos	pod
poderoso	poder os o	poder
poderosos	poder os o s	poder
podes	pod es	pod
podía	pod ía	pod
podrá	pod rá	pod
podran	pod ran	pod
podría	pod ría	pod
podrian	pod rian	pod
podridos	p<o>dr id o s	p<o>dr
policiales	polici al es	polici
Policías	Policí a s	Policí
político	polític o	polític
ponele	pon e le	pon
poner	pon er	pon
ponerlos	pon er los	pon
ponerse	pon er se	pon
pongan	pon gan	pon
Ponme	Pon me	Pon
poquito	po<q>u it o	po<q>u
porcentaje	por cent aje	cent
portavoz	port a voz	voz
porte	port e	port
Posada	Pos ad a	Pos
posee	pose e	pose
posesión	pose sión	pose
posible	pos ible	pos
poste	post e	post
POSTEO	POSTE O	POSTE
postes	poste s	poste
Pozo	Poz o	Poz
pozos	poz o s	poz
precedente	pre ced ente	ced
precio	preci o	preci
Prefiero	Pref<ie>r o	Pref<ie>r
preguntarselo	pregunt ar se lo	pregunt
preguntó	pregunt ó	pregunt
preocúpense	pre ocúp en se	ocúp
preparando	prepar ando	prepar
presa	pres a	pres
Presenta	Present a	Present
presentación	present ación	present
presentarse	present ar se	present
PRESIDENTE	PRESID ENTE	PRESID
presisamente	presis amente	presis
presos	pres o s	pres
prestaran	prest aran	prest
presuntamente	presunt amente	presunt
presuntos	presunt o s	presunt
pretextos	pre text o s	text
prevenir	pre ven ir	ven
preventivamente	pre ven tiv amente	ven
previamente	previa mente	previa
Primer	Primer	Primer
primeras	primer a s	primer
Primero	Primer o	Primer
Primeros	Primer o s	Primer
principales	principal es	principal
Príncipe	Príncipe	Príncipe
prisión	prisión	prisión
prisionero	prision er o	prision
prisioneros	prision er o s	prision
privada	priv ad a	priv
problemas	problema s	problema
problematica	problema tic a	problema
probó	prob ó	prob
proceso	proces o	proces
procuración	pro cur ación	cur
produciría	produc iría	produc
productos	product o s	product
progreso	progres o	progres
prohibido	prohib id o	prohib
prometieron	promet ieron	promet
pronunció	pro nunc ió	nunci
propias	propi a s	propi
propiedad	propi edad	propi
propiedades	propi edad es	propi
propio	propi o	propi
propios	propi o s	propi
propone	pro pon e	pon
proporcionaron	pro porcion aron	porcion
proporcionó	pro por cion ó	por
prostitutas	prostitut a s	prostitut
protocolo	protocol o	protocol
provincia	provinci a	provinci
provoca	provoc a	provoc
provocaron	provoc aron	provoc
proximo	proxim o	proxim
pruebas	pr<ue>b as	pr<ue>b
publica	public a	public
Público	Públic o	Públic
pudieran	p<u>d ieran	p<u>d
pudranse	pudr an se	pudr
pueblos	puebl o s	puebl
puedan	p<ue>d an	p<ue>d
Puede	P<ue>d e	P<ue>d
Puedo	P<ue>d o	P<ue>d
puente	puente	puente
puentes	puente s	puente
puerta	puert a	puert
puesto	p<ue>st o	p<ue>st
pulmmones	pulmmon es	pulmmon
puntualizó	puntual iz ó	puntual
putas	put a s	put
Que	Que	Que
QUEDADO	QUED AD O	QUED
quedan	qued an	qued
quedar	qued ar	qued
quedaran	qued aran	qued
quedaron	qued aron	qued
quedó	qued ó	qued
quemas	quem as	quem
querer	quer er	quer
QUERES	QUER ES	QUER
queso	ques o	ques
quien	quien	quien
Quién	Quién	Quién
quiera	qu<ie>r a	qu<ie>r
quieran	qu<ie>r an	qu<ie>r
quiere	qu<ie>r e	qu<ie>r
QUIEREN	QU<IE>R EN	QU<IE>R
quiero	qu<ie>r o	qu<ie>r
quince	quince	quince
quita	quit a	quit
quitate	quit a te	quit
racha	rach a	rach
racismo	ra<c> ism o	ra<c>
radiación	radi ación	radi
rapidez	r<a>pid ez	r<a>pid
ratones	raton es	rat<o>n
razon	razon	razon
razón	razón	razón
razones	razon es	razon
reabrir	re abr ir	abr
reabrirá	re abr irá	abr
reactivos	re act iv o s	act
realizaban	realiz aban	realiz
realización	realiz ación	realiz
realmente	real mente	real
reanuda	re anud a	anud
reanudará	re anud ará	anud
reapertura	re a<p>er tur a	a<p>er
recatan	recat an	recat
rechazaron	rechaz aron	rechaz
reciben	recib en	recib
recibió	recib ió	recib
recién	recién	recién
recientes	rec iente s	rec
reclamarle	re clam ar le	clam
reclusión	re clu sión	clu
recolectores	re colect or es	colect
reconstrucción	re constru cción	constru
recordar	record ar	record
recuerda	rec<ue>rd a	rec<ue>rd
Recuerdan	Rec<ue>rd an	Rec<ue>rd
recuerdo	rec<ue>rd o	rec<ue>rd
recuperación	re cuper ación	cuper
recursos	recurs o s	recurs
red	red	red
Redes	Red es	Red
redujo	re du jo	du
reemplazará	re em plaz ará	plaz
refieres	ref<ie>r es	ref<ie>r
regiones	region es	region
registrado	registr ad o	registr
registrar	registr ar	registr
registren	registr en	registr
regresar	regres ar	regres
rehen	rehen	rehen
relacionadas	re la cion ada s	la
relatos	relat o s	relat
remediaría	re medi aría	medi
remedio	re medi o	medi
remota	re mot a	mot
remoto	re mot o	mot
rendir	rend ir	rend
renunciar	re nunci ar	nunci
reo	re o	re
reos	re o s	re
repetir	re pet ir	pet
REPITO	RE P<I>T O	P<I>T
replicó	re plic ó	plic
representaron	re present aron	present
republicano	republic an o	republic
republicanos	republic an o s	republic
rescate	rescate	rescate
rescatistas	rescat ista s	rescat
residentes	resident es	resident
residuo	residu o	residu
resolución	re solu ción	solu
respaldan	re spald an	spald
Respecto	Respect o	Respect
respeto	respet o	respet
responder	respond er	respond
respondió	respond ió	respond
responsables	respons able s	respons
restantes	rest ante s	restante
restauradores	re staur ador es	staur
resto	rest o	rest
restos	rest o s	rest
resuelto	re s<ue>lt o	s<ue>lt
resulta	result a	result
resultado	result ad o	result 
resultados	result ad o s	result
resultaron	result aron	result
resulto	result o	result
resumen	re sum en	sum
Retiro	Re tir o	tir
retractó	re tract ó	tract
reunión	re un ión	un
reunirán	re un irán	un
reverenda	reverend a	reverend
revisa	re vis a	vis
revista	revist a	revist
Rica	Ric a	Ric
ridicula	ridicul a	ridicul
riesgo	riesg o	riesg
rinde	r<i>nd e	r<i>nd
Rioja	Rioj a	Rioj
robado	rob ad o	rob
robados	rob ad o s	rob
robar	rob ar	rob
roben	rob en	rob
Roja	Roj a	Roj
Rojas	Roj a s	Roj
Rojo	Roj o	Roj
rollado	roll ad o	roll
rompa	romp a	romp
ropa	rop a	rop
ROQUE	ROQUE	ROQUE
rumbo	rumb o	rumb
sabe	sab e	sab
sabian	sab ian	sab
sacaban	sac aban	sac
sacado	sac ad o	sac
saco	sac o	sac
sacudió	sacud ió	sacud
saldo	sald o	sald
sales	sal es	sal
salgamos	sal gamos	sal
salida	sal id a	sal
salio	sal io	sal
salió	sal ió	sal
salmones	salmon es	salmon
salten	salt en	salt
saludable	salud able	salud
Salvador	Salv ador	Salv
sancionar	sancion ar	sancion
sanitaria	sani tari a	sani
SAQUE	SA<Q>U E	SA<Q>U E
sarampión	sarampión	sarampión
sargentos	sargent o s	sargent
sea	s ea	s
secreto	secret o	secret
sectores	sector es	sector
secuestrado	secuestr ad o	secuestr
secuestro	secuestr o	secuestr
sede	sede	sede
sediciosos	sed ici os o s	sed
seguimiento	segu imient o	segu
SEGUIR	SEGU IR	SEGU
Según	Según	Según
segundos	segund o s	segund
seguro	segur o	segur
seguros	segur o s	segur
segurosos	segur os o s	segur
sello	sell o	sell
semana	seman a	seman
senador	senad or	senad
señala	señal a	señal
señalado	señal ad o	señal
señaló	señal ó	señal
senda	send a	send
SENDERISTAS	SENDER IST A S	SENDER
señor	señor	señor
señora	señor a	señor
sentenciados	sentenci ad o s	sentenci
sentido	sent id o	sent
sentirse	sent ir se	sent
separan	separ an	separ
ser	s er	s
será	s erá	s
seran	s eran	s
seria	s eria	s
sería	s ería	s
serian	s erian	s
servicio	servici o	servici
Servicios	Servici o s	Servici
sexuales	sex ual es	sex
si	si	si
sienten	s<ie>nt en	s<ie>nt
SIENTO	S<IE>NT O	S<IE>NT
siete	siete	siete
sifradas	sifr ad a s	sifr
siglo	sigl o	sigl
signo	sign o	sign
sigue	s<i>gu e	s<i>gu
SIGUEN	S<I>GU EN	S<I>GU
siguieron	s<i>gu ieron	s<i>gu
simpatizantes	simpat iz ante s	simpat 
simple	simple	simple
sin	sin	sin
sindicalisados	sindicalis ad o s	sindicalis
sintieron	s<i>nt ieron	s<i>nt
sionismo	sion ism o	sion
sionista	sion ista	sion
sitio	siti o	siti o
Sobre	Sobre	Sobre
sobreviviente	sobre viv iente	viv
sobrevivientes	sobre viv iente s	viv
sobrevivieron	sobre viv ieron	viv
SOBREVIVIR	SOBRE VIV IR	VIV
sociedad	soci edad	soci
socioeconómica	socio económ ic a	económ
socorro	socorr o	socorr
sol	sol	sol
solamente	sol amente	sol
soldados	soldad o s	soldad
Solicitamos	Solicit amos	Solicit
solicitan	solicit an	solicit
solidariza	solidar iz a	solidar
sólo	sól o	sól
Somos	S omos	S
SON	S ON	S
SONIDO	SON ID O	SON
soportar	soport ar	soport
sostenerse	sos ten er se	ten
sosteniendo	sos ten iendo	ten
sostuvo	sos tuv o	tuv
sótano	sótan o	sótan
Su	Su	Su
subalternos	sub altern o s	altern
subida	sub id a	sub
súbita	súbit a	súbit
Sucre	Sucre	Sucre
suficientemente	sufic iente mente	sufic
suficientes	sufic iente s	sufic
sufren	sufr en	sufr
suicidaron	suicid aron	suicid
suicidas	suicid a s	suicid
sumaron	sum aron	sum
sumergió	su merg ió	merg
suministro	su ministr o	ministr
superhéroe	super héro e	héro
supermercado	super mercad o	mercad
supongamos	su pon gamos	pon
Suprema	Suprem a	Suprem
supuestamente	su p<ue>st a mente	p<ue>st
sureña	sur eñ a	sur
surge	surg e	surg
suspender	sus pend er	pend
tal	tal	tal
tales	tal es	tal
taller	taller	taller
también	también	también
TAN	TAN	TAN
tanto	tant o	tant
tarjeta	tarjet a	tarjet
tarjetas	tarjet a s	tarjet
tasa	tas a	tas
TAXIS	TAXI S	TAXI
telefonía	telefon ía	telefon
teléfono	teléfon o	teléfon
teme	tem e	tem
tendencias	tenden cia s	tenden
tendrá	ten drá	ten
tendrán	ten drán	ten
tendrian	ten drian	ten
tenga	ten ga	ten
Tengamos	Ten gamos	Ten
tenía	ten ía	ten
tenientes	ten iente s	ten
terapia	terapi a	terapi
Terminaras	Termin aras	Termin
terreno	terr en o	terr
terrestres	terr estre s	terr
terrible	terr ible	terr
territorio	terr itori o	terr
terror	terr or	terr
TERRORISMO	TERR OR ISM O	TERR
terroristas	terr or ista s	terr
testimonio	testimoni o	testimoni
tiempo	tiemp o	tiemp
Tiendas	Tiend a s	Tiend
TIENE	T<IE>N E	T<IE>N
Tienen	T<ie>n en	T<ie>n
tierras	tierr a s	tierr
tipo	tip o	tip
tiros	tir o s	tir
titular	titul ar	titul
tocan	toc an	toc
tocó	toc ó	toc
todas	tod a s	tod
TODO	TOD O	TOD
Todos	Tod o s	Tod
tomaron	tom aron	tom
topas	top as	top
tópico	tópic o	tópic
torácico	torác ic o	torác
tormenta	torment a	torment
tormentas	torment a s	torment
tornado	torn ad o	torn
torno	torn o	torn
Torres	Torre s	Torre
tortura	tortur a	tortur
tostadores	tost ador es	tost
trabaja	trabaj a	trabaj
trabajaban	trabaj aban	trabaj
trabajan	trabaj an	trabaj
trabajar	trabaj ar	trabaj
trabajará	trabaj ará	trabaj
trabajen	trabaj en	trabaj
TRABAJO	TRABAJ O	TRABAJ
traficar	trafic ar	trafic
trafico	trafic o	trafic
tráfico	tráfic o	tráfic
trago	trago	trago
transcurrido	trans curr ido	curr
transcurso	trans curs o	curs
transportaba	trans port aba	port
Tras	Tras	Tras
trasladados	tras lad ad o s	lad
tratado	trat ad o	trat
tratamos	trat amos	trat
tratar	trat ar	trat
trataría	trat aría	trat
tratarse	trat ar se	trat
traumatismo	trauma tism o	trauma
tregua	tregu a	tregu
tren	tren	tren
trenes	tren es	tren
tres	tres	tres
trescientos	tres cient o s	cient
Tribunal	Tribun al	Tribun
tribunas	tribun a s	tribun
tributo	tribut o	tribut
trillador	trill ador	trill
tripulantes	tripul ante s	tripul
trofeo	trofe o	trofe
tropas	trop a s	trop
tropical	trop ic al	trop
tuberculosis	tuberculosis	tuberculosis
tubo	tub o	tub
tulipán	tulipán	tulipán
Tulipanes	Tulipan es	Tulipan
turismo	tur ism o	tur
turístico	tur ístic o	tur
tuvieron	tuv ieron	tuv
tuviese	tuv iese	tuv
tuvo	tuv o	tuv
ubicado	ubic ad o	ubic
ULTIMA	ULTIM A	ULTIM
última	últim a	últim
ULTIMO	ULTIM O	ULTIM
últimos	últim o s	últim
única	únic a	únic
UNICO	UNIC O	UNIC
únicos	únic o s	únic
Unidad	Un idad	Un
Unidas	Un id a s	Un
unidos	un id o s	un
Uno	Un o	Un
uso	us o	us
Usted	Usted	Usted
utilizar	util iz ar	util
va	v a	v
vacuna	vacun a	vacun
vacunarlo	vacun ar lo	vacun
vagones	vagon es	vagon
vale	val e	val
valores	valor es	valor
Van	V an	V
vanagloriandose	van a glori ando se	glori
vano	van o	van
variar	vari ar	vari
vas	v as	v
vaya	v aya	v
vecinas	vecin a s	vecin
vehículo	vehícul o	vehícul
vehículos	vehícul o s	vehícul
veían	ve ían	ve
vencidos	venc id o s	venc
vendió	vend ió	vend
venezolana	venezol an a	venezol
Venezolanos	Venezol an o s	Venezol
vengo	ven go	ven
venia	ven ia	ven
venta	vent a	vent
ver	v er	v
veran	v eran	v
verdades	verdad es	verdad
veredicto	veredict o	veredict
vestido	vest id o	vest
vez	vez	vez
viaja	viaj a	viaj
viajaba	viaj aba	viaj
viajes	viaje s	viaje
viajó	viaj ó	viaj
vías	vía s	vía
vicepresidente	vice presid ente	presid
víctima	víctima	víctim
Víctimas	Víctima s	Víctim
VÍCTIMAS	VÍCTIMA S	VÍCTIM
vida	vid a	vid
videojuegos	video jueg o s	jueg
videos	vide o s	vide
vídeovigilancia	vídeo vigil anci a	vigil
viejo	viej o	viej
viernes	viernes	viernes
vieron	v ieron	v
vigilados	vigil ad o s	vigil
vigilando	vigil ando	vigil
violar	viol ar	viol
violencia	violenci a	violenci
vira	vir a	vir
virtual	virtu al	virtu
visitantes	visit ante s	visit
visitar	visit ar	visit
vista	vist a	vist
viviendo	viv iendo	viv
vivió	viv ió	viv
voladura	vol adur a	vol
volarán	vol arán	vol
Volcán	Volcán	Volcán
volúmenes	vol<ú>men es	vol<ú>men
voluntarios	volunt ari o s	volunt 
volver	volv er	volv
Volví	Volv í	Volv
Vota	Vot a	Vot
votantes	vot ante s	vot
voto	vot o	vot
VOY	V OY	V
vuelve	v<ue>lv e	v<ue>lv
zapatos	zapat o s	zapat
zona	zon a	zon
