token	transliteration	segmentation	root
ковшом	kovshom	kovsh om	kovsh
количеством	kolichestvom	kolichestv om	kolichestv
коллапсу	kollapsu	kollaps u	kollaps
коллектива	kollektiva	kollektiv a	kollektiv
коллективе	kollektive	kollektiv e	kollektiv
коллекторы	kollektory	kollektor y	kollektor
команда	komanda	komand a	komand
Командование	Komandovaniye	Komand ova ni ye	Komand
Комиссии	Komissii	Komissi i	Komissi
комитет	komitet	komitet	komitet
коммуналке	kommunalke	kommunal k e	kommunal
конкурентов	konkurentov	konkurent ov	konkurent
констатировать	konstatirovat'	konstat irov at'	konstat
конструкций	konstruktsiy	konstruk ts iy	konstruk
контактировал	kontaktiroval	kontakt irov al	kontakt
контактных	kontaktnyh	kontakt n yh	kontakt
Контактных	Kontaktnyh	Kontakt n yh	Kontakt
континент	kontinent	kontinent	kontinent
континента	kontinenta	kontinent a	kontinent
континентальный	kontinental'nyy	kontinent al'n yy	kontinent
конторе	kontore	kontor e	kontor
контролем	kontrolem	kontrol em	kontrol
концентрации	kontsentratsii	kontsentr atsi i	kontsentr
концерном	kontsernom	kontsern om	kontsern
Координаты	Koordinaty	Koordinat y	Koordinat
копейки	kopeyki	kopeyk i	kopeyk
копия	kopiya	kopi ya	kopi
кораллам	korallam	korall am	korall
коренного	korennogo	koren n ogo	koren
короткие	korotkiye	korotk iye	korotk
корреспонденту	korrespondentu	korrespond ent u	korrespond
кортедж	kortedzh	kortedzh	kortedzh
корью	kor'yu	kor' yu	kor'
косвенно	kosvenno	kosvenn o	kosvenn
космоса	kosmosa	kosmos a	kosmos
коснуться	kosnut'sya	kos nu t' sya	kos
которую	kotoruyu	kotor uyu	kotor
которых	kotoryh	kotor yh	kotor
край	kray	kray	kray
крайности	kraynosti	krayn ost i	krayn
краски	kraski	krask i	krask
Краснодарский	Krasnodarskiy	Krasn o dar sk iy	Krasn dar
Красноярске	Krasnoyarske	Krasn o yar sk e	Krasn yar
Красноярской	Krasnoyarskoy	Krasn o yar sk oy	Krasn yar
краткое	kratkoye	kratk oye	kratk
Кремля	Kremlya	Kreml ya	Kreml
крепость	krepost'	krepost'	krepost'
кризисном	krizisnom	krizis n om	krizis
криминальным	kriminal'nym	kriminal' n ym	kriminal'
кров	krov	krov	krov
крова	krova	krov a	krov
крови	krovi	krov i	krov
кровотечений	krovotecheniy	krov o te<ch> eni y	krov te<ch>
круг	krug	krug	krug
крупные	krupnyye	krupn yye	krupn
крупных	krupnyh	krupn yh	krupn
ксенофобия	ksenofobiya	kseno fob i ya	kseno fob
Курильском	Kuril'skom	Kuril' sk om	Kuril'
курорте	kurorte	kurort e	kurort
курортов	kurortov	kurort ov	kurort
курсантами	kursantami	kurs ant ami	kurs
курсантов	kursantov	kurs ant ov	kurs
курсантские	kursantskiye	kurs ant sk iye	kurs
кухню	kuhnyu	kuhn yu	kuhn
Кыргызстана	Kyrgyzstana	Kyrgyzstan a	Kyrgyzstan
лабораторий	laboratoriy	labor atori y	labor
Лабораторное	Laboratornoye	Labor ator n oye	Labor
Лава	Lava	Lav a	Lav
лавин	lavin	lavin	lavin
лагеря	lagerya	lager ya	lager
лазарете	lazarete	lazaret e	lazaret
легенде	legende	legend e	legend
лед	led	led	led
Ледник	Lednik	Led nik	Led
леднике	lednike	led nik e	led
ледниковый	lednikovyy	led nik ov yy	led
лезли	lezli	lez l i	lez
лекарства	lekarstva	lek ar stv a	lek
лекарство	lekarstvo	lek ar stv o	lek
лесные	lesnyye	les n yye	les
летних	letnih	letn ih	letn
лето	leto	let o	let
летом	letom	let om	let
летучая	letuchaya	let uch aya	let
лечат	lechat	lech at	lech
лечения	lecheniya	lech eni ya	lech
лечить	lechit'	lech i t'	lech
ливень	liven'	liven'	liven'
ливневыми	livnevymi	livn ev ymi	livn
ливня	livnya	livn ya	livn
ликвидировать	likvidirovat'	likvid ir ova t'	likvid
ликвидируют	likvidiruyut	likvid ir u yut	likvid
линий	liniy	lin iy	lin
лихорадка	lihoradka	lihorad k a	lihorad
лихорадкой	lihoradkoy	lihorad k oy	lihorad
личность	lichnost'	li<ch> n ost'	li<ch>
лишившимся	lishivshimsya	lish i vsh im sya	lish
лишнюю	lishnyuyu	lishn yuyu	lishn
Луксора	Luksora	Luksor a	Luksor
люди	lyudi	lyud i	lyud
людьми	lyud'mi	lyud' mi	lyud'
людях	lyudyah	lyud yah	lyud
магнитудой	magnitudoy	magnitud oy	magnitud
максимальная	maksimal'naya	maksim al'n aya	maksim
максимальном	maksimal'nom	maksim al'n om	maksim
максимальный	maksimal'nyy	maksim al'n yy	maksim
маленькие	malen'kiye	mal en'k iye	mal
маловероятно	maloveroyatno	mal o veroyatn o	mal veroyatn
Малому	Malomu	Mal omu	Mal
малоподвижным	malopodvizhnym	mal o po dvi<zh> n ym	mal dvi<zh>
Малый	Malyy	Mal yy	Mal
малыши	malyshi	mal ysh i	mal
мальчика	mal'chika	mal'chik a	mal'chik
малярию	malyariyu	malyari yu	malyari
Мариупольские	Mariupol'skiye	Mariupol' sk iye	Mariupol'
маски	maski	mask i	mask
массами	massami	mass ami	mass
массовой	massovoy	mass ov oy	mass
массовыми	massovymi	mass ov ymi	mass
материала	materiala	material a	material
машинки	mashinki	mashin k i	mashin
машину	mashinu	mashin u	mashin
медикаменты	medikamenty	medikament y	medikament
медики	mediki	medik i	medik
медицинских	meditsinskih	meditsin sk ih	meditsin
медицинское	meditsinskoye	meditsin sk oye	meditsin
медицинскую	meditsinskuyu	meditsin sk uyu	meditsin
международным	mezhdunarodnym	mezhdu narod n ym	mezhdu
мелкие	melkiye	melk iye	melk
Мелкие	Melkiye	Melk iye	Melk
мелкого	melkogo	melk ogo	melk
Мемориалу	Memorialu	Memorial u	Memorial
меньшую	men'shuyu	men'sh uyu	men'sh
меняли	menyali	men ya l i	men
мест	mest	mest	mest
места	mesta	mest a	mest
местами	mestami	mest ami	mest
месте	meste	mest e	mest
местное	mestnoye	mest n oye	mest
местные	mestnyye	mest n yye	mest
местным	mestnym	mest n ym	mest
местных	mestnyh	mest n yh	mest
Место	Mesto	Mest o	Mest
местом	mestom	mest om	mest
месяца	mesyatsa	mesyats a	mesyats
месяцев	mesyatsev	mesyats ev	mesyats
Метель	Metel'	Metel'	Metel'
метеорологической	meteorologicheskoy	meteor o log ichesk oy	meteor log
метро	metro	metro	metro
метров	metrov	metr ov	metr
мечети	mecheti	mechet i	mechet
мигалками	migalkami	mig a l k ami	mig
микроавтобусов	mikroavtobusov	mikro avto bus ov	bus
милях	milyah	mil yah	mil
минерал	mineral	mineral	mineral
минералами	mineralami	mineral ami	mineral
минеральная	mineral'naya	mineral' n aya	mineral'
минеральной	mineral'noy	mineral' n oy	mineral'
минимум	minimum	minimum	minimum
Министерства	Ministerstva	Minister stv a	Minister
минсельхозпрод	minsel'hozprod	min sel' hoz prod	min sel' hoz prod
Минску	Minsku	Minsk u	Minsk
мирно	mirno	mirn o	mirn
мнению	mneniyu	mneni yu	mneni
Многих	Mnogih	Mnog ih	Mnog
много	mnogo	mnog o	mnog
многолетние	mnogoletniye	mnog o let n iye	mnog let
многочисленные	mnogochislennyye	mnogo chisl enn yye	mnogo chisl
множество	mnozhestvo	mno<zh> estv o	mno<zh>
мобильную	mobil'nuyu	mobil' n uyu	mobil'
мобильный	mobil'nyy	mobil' n yy	mobil'
могла	mogla	mog l a	mog
могут	mogut	mog ut	mog
моделирование	modelirovaniye	model ir ova ni ye	model
моей	moyey	mo yey	mo
можно	mozhno	mo<zh> n o	mo<zh>
мозайка	mozayka	moza yk a	moza
молдаван	moldavan	moldav an	moldav
молитвы	molitvy	molitv y	molitv
молниями	molniyami	molni yami	molni
молчать	molchat'	molch a t'	molch
молятся	molyatsya	mol yat sya	mol
момент	moment	moment	moment
момента	momenta	moment a	moment
монтаж	montazh	montazh	montazh
морем	morem	mor em	mor
моря	morya	mor ya	mor
Москвы	Moskvy	Moskv y	Moskv
Московской	Moskovskoy	Moskov sk oy	Moskov
мощная	moschnaya	mo<sch> n aya	mo<sch>
мощнейшим	moschneyshim	mo<sch> neysh im	mo<sch>
мощного	moschnogo	mo<sch> n ogo	mo<sch>
мощной	moschnoy	mo<sch> n oy	mo<sch>
мощности	moschnosti	mo<sch> n ost i	mo<sch>
мощность	moschnost'	mo<sch> n ost'	mo<sch>
мощным	moschnym	mo<sch> n ym	mo<sch>
мощных	moschnyh	mo<sch> n yh	mo<sch>
мощь	mosch'	mo<sch'>	mo<sch'>
моют	moyut	mo yut	mo
Мужчина	Muzhchina	Muzh chin a	Muzh
мужчину	muzhchinu	muzh chin u	muzh
Мурманске	Murmanske	Murmansk e	Murmansk
муссонные	mussonnyye	musson n yye	musson
муссонный	mussonnyy	musson n yy	musson
мысли	mysli	mysl i	mysl
наблюдается	nablyudayetsya	nablyud a yet sya	nablyud
наблюдали	nablyudali	nablyud a l i	nablyud
наблюдений	nablyudeniy	nablyud en iy	nablyud
наблюдения	nablyudeniya	nablyud eni ya	nablyud
набор	nabor	nabor	nabor
наводнением	navodneniyem	na vod n eni yem	vod
надвигается	nadvigayetsya	na dvig a yet sya	dvig
назад	nazad	nazad	nazad
назвали	nazvali	na zv a l i	zv
Названы	Nazvany	Na zv a n y	zv
назвать	nazvat'	na zv a t'	zv
назначения	naznacheniya	naznach eni ya	naznach
называют	nazyvayut	na zyv a yut	zyv
наиболее	naiboleye	nai bol eye	bol
Наибольшему	Naibol'shemu	Nai bol' sh emu	bol'
накрыла	nakryla	na kry l a	kry
налетела	naletela	na let e l a	let
наличия	nalichiya	nalich i ya	nalich
нападения	napadeniya	napad eni ya	napad
наплывом	naplyvom	na ply v om	ply
напомнил	napomnil	na pomn i l	pomn
направила	napravila	naprav i l a	naprav
направлении	napravlenii	napravl eni i	napravl
направлению	napravleniyu	napravl eni yu	napravl
направления	napravleniya	napravl eni ya	napravl
Народ	Narod	Narod	Narod
народов	narodov	narod ov	narod
нарушено	narusheno	na rush en o	rush
нарушены	narusheny	na rush en y	rush
наряды	naryady	naryad y	naryad
насекомого	nasekomogo	nasekom ogo	nasekom
населению	naseleniyu	na sel eni yu	sel
населения	naseleniya	na sel eni ya	sel
населенные	naselennyye	na sel enn yye	sel
населенных	naselennyh	na sel enn yh	sel
насколько	naskol'ko	na skol'k o	skol'k
настолько	nastol'ko	na stol'k o	stol'k
настоящее	nastoyascheye	nastoyasch eye	nastoyasch
научились 	nauchilis'	na uch i l i s'	uch
находились	nahodilis'	nahod i l i s'	nahod
находится	nahoditsya	nahod it sya	nahod
национальному	natsional'nomu	natsi on al'n omu	natsi
национальные	natsional'nyye	natsi on al'n yye	natsi
национальный	natsional'nyy	natsi on al'n yy	natsi
нациста	natsista	nats ist a	nats
началось	nachalos'	na cha l o s'	cha
начальники	nachal'niki	nachal' nik i	nachal'
начато	nachato	na cha t o	cha
начинающий	nachinayuschiy	na chin a yusch iy	chin
начиная	nachinaya	na chin a ya	chin
нашем	nashem	nash em	nash
нашли	nashli	nash l i	nash
неба	neba	neb a	neb
небе	nebe	neb e	neb
неблагополучными	neblagopoluchnymi	ne blagopoluch n ymi	blagopoluch
Небольшие	Nebol'shiye	Ne bol'sh iye	bol'sh
небольшой	nebol'shoy	ne bol'sh oy	bol'sh
Неве	Neve	Nev e	Nev
недавнего	nedavnego	ne davn ego	davn
неделе	nedele	nedel e	nedel
недель	nedel'	nedel'	nedel'
неделю	nedelyu	nedel yu	nedel
недомогает	nedomogayet	nedomog a yet	nedomog
неестественном	neyestestvennom	ne yestestv enn om	yestestv
незабываемое	nezabyvayemoye	ne zaby va yem oye	zaby
независимых	nezavisimyh	ne zavis im yh	zavis
незначительные	neznachitel'nyye	ne zna<ch> i tel'n yye	zna<ch>
неизвестного	neizvestnogo	ne izvestn ogo	izvestn
некоторые	nekotoryye	ne kotor yye	kotor
некоторым	nekotorym	ne kotor ym	kotor
немедленной	nemedlennoy	ne medl enn oy	medl
Немецкие	Nemetskiye	Nem ets k iye	Nem
немного	nemnogo	ne mnog o	mnog
необходимо	neobhodimo	neobhodim o	neobhodim
необходимости	neobhodimosti	neobhodim ost i	neobhodim
необходимых	neobhodimyh	neobhodim yh	neobhodim
необычным	neobychnym	ne obychn ym	obychn
неоднократно	neodnokratno	ne odn o krat n o	odn krat
неохотно	neohotno	ne o hot n o	hot
Непогода	Nepogoda	Ne pogod a	pogod
непогоды	nepogody	ne pogod y	pogod
неподалеку	nepodaleku	ne po dalek u	dalek
непосредственно	neposredstvenno	ne posredstvenn o	posredstvenn
непосредственное	neposredstvennoye	ne posredstvenn oye	posredstvenn
непредсказуем	nepredskazuyem	ne pred skaz u yem	skaz
непрекращающихся	neprekraschayuschihsya	ne prekra<sch> a yusch ih sya	prekra<sch>
непривитое	neprivitoye	ne pri vi t oye	vi
непривитые	neprivityye	ne pri vi t yye	vi
непридведенные	nepridvedennyye	ne prid ved enn yye	ved
непросто	neprosto	ne prost o	prost
нервной	nervnoy	nerv n oy	nerv
нереально	nereal'no	ne real'n o	real'n
нескольких	neskol'kih	ne skol'k ih	skol'k
Несколько	Neskol'ko	Ne skol'k o	skol'k
неслышала	neslyshala	ne slysh a l a	slysh
Несмотря	Nesmotrya	Ne smotr ya	smotr
несших	nesshih	nes<sh> ih	nes<sh>
неужели	neuzheli	neuzheli	neuzheli
нечто	nechto	ne chto	chto
низменной	nizmennoy	niz menn oy	menn
никак	nikak	ni kak	kak
никаких	nikakih	ni kak ih	kak
никогда	nikogda	ni kogda	kogda
никому	nikomu	ni k omu	k
новое	novoye	nov oye	nov
новостей	novostey	novost ey	novos
Новости	Novosti	Novost i	Novost
Новый	Novyy	Nov yy	Nov
новых	novyh	nov yh	nov
номер	nomer	nomer	nomer
нормальном	normal'nom	norm al'n om	norm
нормальными	normal'nymi	norm al'n ymi	norm
норме	norme	norm e	norm
носителем	nositelem	nos i tel em	nos
Носителем	Nositelem	Nos i tel em	Nos
ночи	nochi	noch i	noch
ночь	noch'	noch'	noch'
ноябрю	noyabryu	noyabr yu	noyabr
Ну	Nu	Nu	Nu
нужд	nuzhd	nuzhd	nuzhd
нуждается	nuzhdayetsya	nuzhd a yet sya	nuzhd
нуждающимся	nuzhdayuschimsya	nuzhd a yusch im sya	nuzhd
нынешнему	nyneshnemu	nyne shn emu	nyne
об	ob	ob	ob
обеспечении	obespechenii	obespech eni i	obespech
обеспечивал	obespechival	obespech iva l	obespech
обесточить	obestochit'	o bes toch i t'	toch
обещало	obeschalo	obesch a l o	obesch
обладает	obladayet	oblada yet	oblada
области	oblasti	oblast i	oblast
областного	oblastnogo	oblast n ogo	oblast
область	oblast'	oblast'	oblast'
областям	oblastyam	oblast yam	oblast
областях	oblastyah	oblast yah	oblast
облачностью	oblachnost'yu	obla<ch> n ost' yu	obla<ch>
обломками	oblomkami	ob lom k ami	lom
обломком	oblomkom	ob lom k om	lom
обнадежил	obnadezhil	ob nadezh i l	nadezh
обозначены	oboznacheny	obo zna<ch> en y	zna<ch>
Обозреватель	Obozrevatel'	Obo zr e va tel'	zr
обороне	oborone	oboron e	oboron
образуя	obrazuya	obraz u ya	obraz
обрушилась	obrushilas'	ob rush i l a s'	rush
обрушился	obrushilsya	ob rush i l sya	rush
обстановка	obstanovka	obstanovk a	obstanovk
обстановки	obstanovki	obstanovk i	obstanovk
обстрелом	obstrelom	ob strel om	strel
обсуждают	obsuzhdayut	ob suzhd a yut	suzhd
общественного	obschestvennogo	obsch e stv enn ogo	obsch
общую	obschuyu	obsch uyu	obsch
объектов	ob"yektov	ob"yekt ov	ob"yekt
объявлен	ob"yavlen	ob"yavl en	ob"yavl
объявлена	ob"yavlena	ob"yavl en a	ob"yavl
обычными	obychnymi	obychn ymi	obychn
овощах	ovoschah	ovosch ah	ovosch
Оглавление	Oglavleniye	O glavl eni ye	glavl
ограничение	ogranicheniye	o grani<ch> eni ye	grani<ch>
ограничению	ogranicheniyu	o grani<ch> eni yu	grani<ch>
огромные	ogromnyye	ogromn yye	ogromn
огромным	ogromnym	ogromn ym	ogromn
одежде	odezhde	odezhd e	odezhd
Одесской	Odesskoy	Odess k oy	Odess
Одессой	Odessoy	Odess oy	Odess
одеял	odeyal	odeyal	odeyal
Одна	Odna	Odn a	Odn
одним	odnim	odn im	odn
озеро	ozero	ozer o	ozer
оказавшимся	okazavshimsya	okaz a vsh im sya	okaz
оказанию	okazaniyu	okaz a ni yu	okaz
оказать	okazat'	okaz a t'	okaz
оказаться	okazat'sya	okaz a t' sya	okaz
оказывается	okazyvayetsya	okaz yva yet sya	okaz
Оказывается	Okazyvayetsya	Okaz yva yet sya	Okaz
оказывают	okazyvayut	okaz yva yut	okaz
океанический	okeanicheskiy	okean ichesk iy	okean
около	okolo	okolo	okolo
окончание	okonchaniye	o konch a ni ye	konch
окончания	okonchaniya	o konch a ni ya	konch
окрестности	okrestnosti	okrest n ost i	okrest
окрестностях	okrestnostyah	okrest n ost yah	okrest
округах	okrugah	okrug ah	okrug
Омске	Omske	Omsk e	Omsk
он	on	on	on
опасного	opasnogo	opasn ogo	opasn
опасным	opasnym	opasn ym	opasn
опасными	opasnymi	opasn ymi	opasn
операцию	operatsiyu	oper atsi yu	oper
оповещения	opovescheniya	opo ve<sch> eni ya	ve<sch>
определяют	opredelyayut	opredel ya yut	opredel
Опубликовано	Opublikovano	O publik ov a n o	publik
опытные	opytnyye	opyt n yye	opyt
опыту	opytu	opyt u	opyt
оранжевый	oranzhevyy	oranzhev yy	oranzhev
организации	organizatsii	organ iz atsi i	organ
Организация	Organizatsiya	Organ iz atsi ya	Organ
организм	organizm	organ izm	organ
организованно	organizovanno	organ iz ova nn o	organ
организовано	organizovano	organ iz ova n o	organ
организовать	organizovat'	organ iz ova t'	organ
освещение	osvescheniye	o sve<sch> eni ye	sve<sch>
ослабевает	oslabevayet	o slab e va yet	slab
ослабление	oslableniye	o slabl eni ye	slabl
ослабляет	oslablyayet	o slabl ya yet	slabl
Осложнениями	Oslozhneniyami	O slozhn eni yami	slozhn
осложнившихся	oslozhnivshihsya	o slozhn i vsh ih sya	slozhn
основания	osnovaniya	osnov a ni ya	osnov
основном	osnovnom	osnov n om	osnov
основные	osnovnyye	osnov n yye	osnov
основными	osnovnymi	osnov n ymi	osnov
основу	osnovu	osnov u	osnov
особого	osobogo	osob ogo	osob
оставил	ostavil	osta v i l	osta
Остальных	Ostal'nyh	Ostal'n yh	Ostal'n
останешься	ostanesh'sya	osta n esh' sya	osta
остановила	ostanovila	ostanov i l a	ostanov
остановке	ostanovke	ostanov k e	ostanov
остатками	ostatkami	osta t k ami	osta
Остаются	Ostayutsya	Osta yut sya	Osta
острове	ostrove	ostrov e	ostrov
остроту	ostrotu	ostrot u	ostrot
осуществлялось	osuschestvlyalos'	osuschestvl ya l os'	osuschestvl
отвергла	otvergla	ot verg l a	verg
ответил	otvetil	otvet i l	otvet
отдавать	otdavat'	ot da va t'	da
отдаленный	otdalennyy	ot dal enn yy	dal
отдыхающих	otdyhayuschih	otdyh a yusch ih	otdyh
откажутся	otkazhutsya	otka<zh> ut sya	otka<zh>
отказа	otkaza	otkaz a	otkaz
отключен	otklyuchen	ot klyuch en	klyuch
отключений	otklyucheniy	ot klyuch en iy	klyuch
открещиваются	otkreschivayutsya	ot kre<sch> iva yut sya	kre<sch>
открывавшиеся	otkryvavshiyesya	ot kry va vsh iye sya	kry
открылся	otkrylsya	ot kry l sya	kry
открыто	otkryto	ot kry t o	kry
откуда	otkuda	ot kuda	kuda
отметила	otmetila	ot met i la	met
отметки	otmetki	ot met k i	met
отмечается	otmechayetsya	ot me<ch> a yet sya	me<ch>
относился	otnosilsya	ot nos i l sya	nos
относится	otnositsya	ot nos it sya	nos
относящимися	otnosyaschimisya	ot nos yasch imi sya	nos
отражается	otrazhayetsya	otra<zh> a yet sya	otra<zh>
отражённого	otrazhonnogo	otra<zh> onn ogo	otra<zh>
отсевоблоков	otsevoblokov	ot sev o blok ov	sev blok
официально	ofitsial'no	ofitsial'n o	ofitsial'n
официального	ofitsial'nogo	ofitsial'n ogo	ofitsial'n
официальное	ofitsial'noye	ofitsial'n oye	ofitsial'n
Официальные	Ofitsial'nyye	Ofitsial'n yye	Ofitsial'n
охлаждающий	ohlazhdayuschiy	o hla<zh>d a yusch iy	hla<zh>d
охотничьего	ohotnich'yego	ohot ni<ch'> yego	ohot
Охотского	Ohotskogo	Ohot sk ogo	Ohot
оценивается	otsenivayetsya	o tsen iva yet sya	tsen
оценивающей	otsenivayuschey	o tsen iva yusch ey	tsen
очевидцев	ochevidtsev	och e vid ts ev	och vid
очереди	ocheredi	ochered i	ochered
Очередной	Ocherednoy	Ochered n oy	Ochered
очередь	ochered'	ochered'	ochered'
очёнь	ochon'	ochon'	ochon'
Оша	Osha	Osh a	Osh
ошарашен	osharashen	o shara<sh> en	shara<sh>
ошибку	oshibku	o shib k u	shib
ощущались	oschuschalis'	oschu<sch> a l is'	oschu<sch>
паводковой	pavodkovoy	pa vod k ov oy	vod
паводок	pavodok	pa vod ok	vod
падает	padayet	pad a yet	pad
Пакистане	Pakistane	Pakistan e	Pakistan
Пакистаном	Pakistanom	Pakistan om	Pakistan
пакистанской	pakistanskoy	pakistan sk oy	pakistan
палатками	palatkami	palatk ami	palatk
палатках	palatkah	palatk ah	palatk
палочкой	palochkoy	paloch k oy	paloch
панику	paniku	panik u	panik
патронажем	patronazhem	patron azh em	patron
пациентов	patsiyentov	patsiyent ov	patsiyent
пепел	pepel	pepel	pepel
пеплом	peplom	pepl om	pepl
первая	pervaya	perv aya	perv
Первая	Pervaya	Perv aya	Perv
первичный	pervichnyy	perv ichn yy	perv
первой	pervoy	perv oy	perv
первоначально	pervonachal'no	perv o na cha l' n o	perv
первоначальных	pervonachal'nyh	perv o na cha l' n yh	perv
первую	pervuyu	perv uyu	perv
Первые	Pervyye	Perv yye	Perv
переда	pereda	pered a	pered
передаваться	peredavat'sya	pere da va t' sya	da
передаётся	peredayotsya	pere da yot sya	da
переживаем	perezhivayem	pere zhi va yem	zhi
переживает	perezhivayet	pere zhi va yet	zhi
переживающему	perezhivayuschemu	pere zhi va yusch emu	zhi
переживающими	perezhivayuschimi	pere zhi va yusch imi	zhi
перекликаются	pereklikayutsya	pere klik a yut sya	klik
перекрыты	perekryty	pere kry t y	kry
перелеты	perelety	pere let y	let
перемещались	peremeschalis'	pere me<sch> a l i s'	me<sch>
перемещаться	peremeschat'sya	pere me<sch> a t' sya	me<sch>
переносимый	perenosimyy	pere nos im yy	nos
переносчиками	perenoschikami	pere nos chik ami	nos
переполнены	perepolneny	pere poln en y	poln
переполняла	perepolnyala	pere poln ya l a	poln
перепродают	pereprodayut	pere proda yut	proda
переселиться	pereselit'sya	pere sel i t' sya	sel
переходит	perehodit	pere hod it	hod
персонал	personal	personal	personal
персонала	personala	personal a	personal
перспективными	perspektivnymi	perspektiv n ymi	perspektiv
печальной	pechal'noy	pechal' n oy	pechal'
печальный	pechal'nyy	pechal' n yy	pechal'
печенье	pechen'ye	pech en' ye	pech
пешеходов	peshehodov	pesh e hod ov	pesh
пик	pik	pik	pik
питание	pitaniye	pit a ni ye	pit
питаться	pitat'sya	pit a t' sya	pit
питьевая	pit'yevaya	pi t' yev aya	pi
пишет	pishet	pish et	pish
планетную	planetnuyu	planet n uyu	planet
Плановая	Planovaya	Plan ov aya	Plan
плену	plenu	plen u	plen
плотине	plotine	plotin e	plotin
площадей	ploschadey	ploschad ey	ploschad
площади	ploschadi	ploschad i	ploschad
площадь	ploschad'	ploschad'	ploschad'
пневмония	pnevmoniya	pnevmon i ya	pnevmon
По	Po	Po	Po
побережью	poberezh'yu	po bere<zh>' yu	bere<zh>'
побывали	pobyvali	po by va l i	by
поверхностных	poverhnostnyh	po verh n ost n yh	verh
повлекшее	povleksheye	po vlek sh eye	vlek
поводу	povodu	povod u	povod
повреждения	povrezhdeniya	po vrezhd eni ya	vrezhd
повреждены	povrezhdeny	po vrezhd en y	vrezhd
повтор	povtor	povtor	povtor
повторение	povtoreniye	povtor eni ye	povtor
повторится	povtoritsya	povtor i t sya	povtor
повысив	povysiv	po vys i v	vys
погодными	pogodnymi	pogod n ymi	pogod
погодой	pogodoy	pogod oy	pogod
пограничных	pogranichnyh	po grani<ch> n yh	grani<ch>
погребенные	pogrebennyye	pogreb enn yye	pogreb
Под	Pod	Pod	Pod
подавить	podavit'	po dav i t'	dav
Подавляющее	Podavlyayuscheye	Po davl ya yusch eye	davl
подвергаются	podvergayutsya	podverg a yut sya	podverg
подвержены	podverzheny	podver<zh> en y	podver<zh>
подвизались	podvizalis'	pod viz a l is'	viz
подвозивший	podvozivshiy	pod voz i vsh iy	voz
подготовки	podgotovki	pod gotov k i	gotov
подевалась	podevalas'	po de va l a s'	de
подержанный	poderzhannyy	po derzh a nn yy	derzh
подземных	podzemnyh	pod zem n yh	zem
подлежат	podlezhat	podlezh at	podlezh
Поднебесной	Podnebesnoy	Pod neb es n oy	neb
поднятия	podnyatiya	podnya ti ya	podnya
подобная	podobnaya	podob n aya	podob
Подобное	Podobnoye	Podob n oye	Podob
подопытным	podopytnym	pod opyt n ym	opyt
подорвали	podorvali	podo rv a l i	rv
подорвался	podorvalsya	podo rv a l sya	rv
подошла	podoshla	po do sh l a	sh
подписан	podpisan	pod pis a n	pis
подробности	podrobnosti	podrobn ost i	podrobn
подростки	podrostki	pod rost k i	rost
подросток	podrostok	pod rost ok	rost
подсоединяются	podsoyedinyayutsya	pod so yedin ya yut sya	yedin
подтвердили	podtverdili	podtverd i l i	podtverd
подтвердился	podtverdilsya	podtverd i l sya	podtverd
подтверждает	podtverzhdayet	podtver<zh>d a yet	podtver<zh>
подтвержденных	podtverzhdennyh	podtver<zh>d enn yh	podtver<zh>d
подтопления	podtopleniya	pod topl eni ya	topl
подтоплено	podtopleno	pod topl en o	topl
подтоплены	podtopleny	pod topl en y	topl
подходящего	podhodyaschego	pod hod yasch ego	hod
подчас	podchas	podchas	podchas
подчеркнул	podcherknul	pod cherk nu l	cherk
подъем	pod"yem	pod"yem	pod"yem
подъёма	pod"yoma	pod"yom a	pod"yom
пожарных	pozharnyh	pozhar n yh	pozhar
позади	pozadi	po zad i	zad
позапрошлой	pozaproshloy	po za pro sh l oy	pro
поздняя	pozdnyaya	pozdn yaya	pozdn
поиски	poiski	po isk i	isk
Поистине	Poistine	Po istin e	istin
пойдёт	poydot	po yd ot	yd
пока	poka	poka	poka
Пока	Poka	Poka	Poka
Показали	Pokazali	Pokaz a l i	Pokaz
показало	pokazalo	pokaz a l o	pokaz
показывает	pokazyvayet	pokaz yva yet	pokaz
покинут	pokinut	po ki n ut	ki
покинуть	pokinut'	po ki nu t'	ki
покончил	pokonchil	po konch i l	konch
покрова	pokrova	po krov a	krov
покрывающий	pokryvayuschiy	po kry va yusch iy	kry
покрылись	pokrylis'	po kry l i s'	kry
полеты	polety	po let y	let
поликлиниках	poliklinikah	poli klinik ah	klinik
поликлинике	poliklinike	poli klinik e	klinik
полицейского	politseyskogo	politsey sk ogo	politsey
полном	polnom	poln om	poln
полностью	polnost'yu	poln ost' yu	poln
половина	polovina	polovin a	polovin
полуострове	poluostrove	pol u ostrov e	pol ostrov
полутора	polutora	pol u tor a	pol tor
получившая	poluchivshaya	poluch i vsh aya	poluch
получила	poluchila	poluch i l a	poluch
получило	poluchilo	poluch i l o	poluch
получить	poluchit'	poluch i t'	poluch
полюбоваться	polyubovat'sya	po lyub ova t' sya	lyub
поля	polya	pol ya	pol
поляков	polyakov	pol yak ov	pol
полях	polyah	pol yah	pol
помню	pomnyu	pomn yu	pomn
помогают	pomogayut	po mog a yut	mog
помогло	pomoglo	po mog l o	mog
помощи	pomoschi	po mosch i	mosch
понеслось	poneslos'	po nes l o s'	nes
пониженным	ponizhennym	po ni<zh> enn ym	ni<zh>
