token	segmentation	root
kassai	kassa i	kassa 
Katasztrófa	Katasztrófa	Katasztrófa
katasztrófáknak	katasztrófák nak	katasztrófák 
katasztrófavédelem	katasztrófa véd elem	katasztrófa 
katasztrófavédelmi	katasztrófa véd elmi	katasztrófa 
katona	katona	katona
kedvelt	kedvel t	kedvel 
keleti	kelet i	kelet 
keményen	kemény en	kemény 
kéményre	kémény re	kémény 
Kéményseprőket	Kémény seprő k et	Kémény 
kényelmes	kényelm es	kényel<e>m 
képaláírás	kép alá írá s	kép 
képeit	kép e it	kép 
képek	kép ek	kép 
képekre	kép ek re	kép 
képtelen	kép telen	kép 
kérdésekben	kérdés ek ben	kérdés 
Kérem	Kér em	Kér 
keresik	keres ik	keres 
kérte	kér te	kér 
kerülése	kerül é se	kerül 
kerületében	kerül et é ben	kerül 
kerületi	kerül et i	kerül 
késések	késés ek	késés 
Később	Késő bb	Késő
későn	késő n	késő 
készített	kész ít ett	kész 
készülékekkel	kész ül ék ekk el	kész 
Keszult	Kesz ul t	Kesz 
készültség	kész ült ség	kész 
kétharmada	két harmad a	harmad 
kétharmadát	két harmad át	harmad 
kezdődik	kezd ő dik	kezd 
kezdődött	kezd ő dött	kezd
kezebe	kez e be	kez 
kezekben	kez ek ben	kez 
kezelni	kez el ni	kez 
kezeltek	ke zel t ek	kez
Kiadó	Ki ad ó	ad
kiadva	ki ad va	ad
kialakulása	ki alak ul ás a	alak 
kialakult	ki alakul t	alakul 
kiásni	ki ás ni	ás 
kicsit	kicsi t	kicsi 
Kiemelten	Ki emelt en	emelt
Kifogás	Ki fog ás	fog 
kifogyott	ki fogy ott	fogy 
kihúzható	ki húz hat ó	húz 
kijavították	ki javít ot t ák	javít
ki	ki	ki
kiküldték	ki küld ték	küld 
kilencen	kilenc en	kilenc
kilogramm	kilo gramm	gramm
kilométerre	kilo méter re	méter 
kimaradnia	ki marad ni a	marad
kimentunk	ki ment unk	ment 
kimondottan	ki mond ott an	mond 
kimozdulni	ki mozdul ni	mozdul
kimutattak	ki mutat tak	mutat 
kipréselődik	ki présel ő dik	présel
Kisded	Kis ded	ded
kisebb	kis ebb	kis
Kisetaltam	Ki setal tam	setal 
kisgyermek	kis gyermek	gyermek
kiszáradt	ki szárad t	ki szárad t
kitaláltam	ki talált am	ki talált am
kitöréskor	ki tör ésk or	ki tör ésk or
kitörésre	ki törés re	ki törés re
kitöréssel	ki törés sel	ki törés sel
kiválasztása	ki választ á sa	ki választ á sa
Kiválasztottak	Ki választot tak	Ki választot tak
klímatényező	klíma tényező	klíma tényező
Klunder	Klunder	Klunder
kockázatot	kockáz at ot	kockáz at ot
Kocsordról	Kocsord ról	Kocsord 
Kolleganom	Kollega nom	Kollega 
költöttek	költöt tek	költö
kolumbiai	kolumbia i	kolumbia 
kombinálva	kombinál va	kombinál 
Komi	Komi	Komi
kompközlekedés	komp közleked és	komp 
komplett	komplett	komplett
konkrét	konkrét	konkrét
könnyebbek	könnyeb bek	könnyeb 
konvoj	konvoj	konvoj
könyvet	könyv e t	könyv
koporsók	koporsó k	koporsó 
korabban	kor a bban	kor
korai	kor a i	kor 
Kora	Kora	Kor
körben	kör ben	kör 
körbeveszi	körbe vesz i	kör
korcsoportjaiban	kor csoport ja i ban	kor 
kordában	kordá ban	kordá 
kórházakat	kór ház ak at	kór
kórházat	kór ház at	kór
Kórházban­	Kór ház ban­	Kór
korlátozások	korlát oz ás ok	korlát 
körmendi	körmend i	körmend 
környékről	környék ről	körny
környező	kör nyez ő	körny
korokozó	kor okozó	kor 
körömvágó	köröm vág ó	köröm 
Korrekt	Korrekt	Korrekt
korú	korú	kor
körülményeit	körül mény e it	körül
köszönhető	köszön he tő	köszön 
Koszt	Koszt	Koszt
kötelezik	kötelez ik	kötelez
kötélre	kötél re	kötél 
követi	követ i	követ 
következhetnek	követ kez het nek	követ 
következik	követ kez ik	követ 
következménye	követ kez mény e	követ 
követően	követő en	követ
követõen	követõ en	követ
követség	követ ség	követ 
közelben	közel ben	közel
közelebb	közel ebb	közel 
közelébe	közel ébe	közel
közeléből	közel é ből	közel 
közeli	közel i	közel 
közepén	közep én	közep 
közepétől	közepé től	közep
kozkinccse	koz kinccs e	kinccs 
köz	köz	köz
közleményében	köz lemény é ben	köz 
közleménye	köz le mény e	köz 
közölte	közölte	közöl
közönséget	közönség et	köz
közösségi	közös ség i	köz
köztere	köz ter e	köz 
közt	közt	köz
közük	köz ük	köz 
közvetlen	köz vetlen	köz 
kráterébe	kráter ébe	kráter 
Krawczyknak	Krawczyk nak	Krawczyk 
küldheti	küld het i	küld 
küldte	küld te	küld 
külföldi	kül föld i	kül 
külföldinek	kül föld i nek	kül 
Külföld	Kül föld	Kül 
kulfoldrol	kul fold rol	kul 
kullancsok	kullancs ok	kullancs 
külön	külön	külön
kulonosen	kulonos en	kulono
külterületén	kül terület én	terület
kultúrákat	kultúrá kat	kultúrá 
kulturális	kulturá lis	kulturá 
külügyminisztérium	külügy minisztérium	minisztérium
Kungyangon	Kungyang on	Kungyang 
kupola	kup ola	kup 
kutakból	kutak ból	kut
kutatva	kutat va	kutat 
kutyákkal	kutyá kk al	kutyá
küzdelmet	küzd elm et	küzd
küzdenek	küzd e nek	küzd 
kyotói	kyotó i	kyotó 
lába	láb a	láb 
Lakástűz	Lakás tűz	Lakás 
lakosságának	lakos ság á nak	lak
lakosú	lak os ú	lak 
landolt	landol t	landol 
lankadnának	lankad ná nak	lankad 
lányokat	lány ok at	lány
lassan	lassan	lassan
látható	lát hat ó	lát 
latni	lat ni	lat 
látnivalók	látni való k	látni 
látogatása	lát og at á sa	lát
látogat	lát og at	lát 
látótáv	lát ó táv	lát 
latszik	lat szik	lat 
látszik	lát szik	lát 
láttad	lát tad	lát 
látták	lát ták	lát 
lattam	lat tam	lat 
látványa	lát vá nya	lát 
lávafolyamokkal	láva folyam ok kal	láva 
lavinában	laviná ban	laviná 
lázadás	lázad ás	lázad 
laza	laza	laza
lázzal	lázz al	láz
lecsökkentésében	le csökken t és é ben	csökke
lefolytatása	le foly tat á sa	foly 
legalábbis	legalább is	legalább 
legerõsebb	leg erõs ebb	erõs
legerősebbre	leg erős ebb re	erős 
leghosszabb	leg hossz abb	hossz 
Légierő	Légi erő	Lég
légitársaság	lég i társ as ág	lég
legnagyobb	leg nagy obb	nagy
legörgette	le görget te	görge
legrosszabbak	leg rossz abb ak	rossz
legtapasztaltabb	leg tapasztalt abb	tapasztalt
legtöbb	leg több	több
legvirulensebb	leg virulens ebb	virulens
legyünk	legyün k	legy
Légzőálarcban	Légző álarc ban	Lég
lehete	lehet e	lehet
lehetetlen	lehet et len	lehet 
lehetett	lehet ett	lehet 
lehet	lehet	lehet
lehetne	lehet ne	lehet
lehettek	lehet tek	lehet 
lejjebb	le jjebb	le 
lejutni	le jut ni	le 
leküzdéséhez	le küzdés é hez	küzdés 
le	le	le
lemaradt	le marad t	marad
lemez	le mez	lemez
lengedezett	leng edez ett	leng 
lenne	len ne	lenne
lenullazodik	le nullaz odik	nullaz 
lenyűgöző	le nyűgöz ő	nyűgöz
Lépcsőház	Lép cső ház	Lép 
lepcso	lep cso	lep 
lépne	lép ne	lép 
lerohantunk	le rohan t unk	rohan 
leszakított	le szakít ott	szakít 
leszállóegysége	le száll ó egy sé ge	száll 
lesz	lesz	lesz
leszögezni	le szögez ni	szögez 
létezik	lét ezik	lét 
lévő	lévő	lévő
levonulni	le vonul ni	vonul
levonulóban	le vonul ó ban	vonul 
lezárása	le zár ás a	zár
lezárni	le zár ni	zár
lezárták	le zár t ák	zár 
lezártnak	le zár t nak	zár 
lezúduló	le zúdul ó	zúdul
Lezuhant	Le zuhan t	zuhan
lezuhanva	le zuhan va	zuhan
link	link	link
litoszféra	litoszféra	litoszféra
logikájáról	logik ájá ról	logik 
lóg	lóg	lóg
lokális	lokális	lokális
lökés	lök és	lök 
Lombos	Lomb os	Lomb 
magasodó	magas odó	magas 
magasságban	magas ság ban	magas
magasságig	magas ság ig	magas 
magát	magá t	magá 
magmával	magmá val	magmá 
magnitúdója	magnitúd ó ja	magnitúdó 
magyarázta	magyaráz ta	magyaráz ta
Magyar	Magyar	Magyar
magyarokat	magyar ok at	magyar
mája	máj a	máj 
Majdnem	Majdnem	Majd nem
májgyulladást	máj gyullad ás t	máj
májtumor	máj tumor	máj 
Májusban	Május ban	Május
makacsul	makacs ul	makacs 
Malajziában	Malajziá ban	Malajziá 
maláriában	maláriá ban	maláriá 
maláriaprogramjának	malária program já nak	malária 
Maliban	Mali ban	Mali 
maradhatunk	marad hat unk	marad 
maradjanak	marad ja nak	marad 
mára	má ra	má 
Maridi	Marid i	Marid 
már	már	már
Marokkóból	Marokkó ból	Marokkó 
Másfélmillió	Másfél millió	Másfél 
máskor	más kor	más 
más	más	más
Másodfokú	Másod fokú	fokú
másodpercek	másod perc ek	perc 
mászókkal	mászókk al	mász
max	max	max
mecsetekbe	mecs et ek be	mecset 
mecset	mecs et	mecset
mecsetnek	mecs et nek	mecset 
meddig	meddig	meddig
médiában	médiá ban	médiá 
médiabeszámolók	média be számol ó k	média 
médium	médium	médium
megad	meg ad	ad
megakadályozni	meg akadály oz ni	akadály 
megállt	meg áll t	áll 
Megbénult	Meg bénul t	bénul 
megbeszélni	meg beszél ni	beszél 
megbetegedések	meg beteged é sek	beteg
megbetegedést	meg beteg ed és t	beteg 
megdöntötték	meg dönt ött é k	dönt 
megduplázódott	meg dupláz ódott	dupláz
megegyezés	meg egyez és	egy
megemlítem	meg említ em	említ 
megenyhült	meg enyhül t	enyh
megerősítik	meg erős ít ik	erő
megfelelően	meg fel elő en	felel
megfelelő	meg felel ő	felel 
meghaladja	meg halad ja	halad 
meghaladó	meg halad ó	halad
meghívja	meg hív ja	hív 
megígértem	meg ígér t em	ígér 
megismerkednünk	meg ismer ked nünk	ismer 
megjegyezhető	meg jegy ez het ő	jegyez 
megjelenhet	meg jelen het	jelen 
megjelennek	meg jelen nek	jelen 
megkaptam	meg kap tam	kap 
megközelítést	meg közelít és t	közel
megközelítették	meg közel ít ett ék	közel 
megközelítette	meg közelítet t e	közel
meglepetésszerûen	meg lepetés szerû en	lep
megmaradt	meg marad t	marad 
megnyitni	meg nyit ni	nyit
megoldani	meg old ani	old 
megoldjak	meg old ja k	old 
megölt	meg öl t	öl 
megoszlanak	meg oszla nak	oszl<o>l
mégpedig	még pedig	pedig
megpihenni	meg pihenn i	pihen
megpihentünk	meg pihen t ünk	pihen
megrongálódnak	meg rongál ó d nak	rongál 
megroppant	meg roppan t	roppan 
megsebesített	meg sebesít ett	seb
mégsem	még sem	sem
megszakította	meg szakít ott a	szakít
megszűnik	meg szűnik	szűn
megszüntetni	meg szünt et ni	szün
megtanulja	meg tanul ja	tanul 
megtett	meg tett	tett
megtisztítását	meg tisztít á sát	tisztít
megtudni	meg tud ni	tud
megtudtak	meg tud ta k	tud 
megúszták	meg úsz tá k	úsz
megyek	megye k	megye 
megy	megy	megy
megyunk	megy unk	megy 
megyünk	megy ünk	megy 
mekkorát	mekkor át	mekkor
méltónak	méltó nak	méltó 
melyből	mely ből	mely 
mélyen	mély en	mély 
mély	mély	mély
melyről	mely ről	mely 
menekültáradat	menekült áradat	menekül
menekült	menekül t	menekül 
Menj	Menj	Men
mennek	men nek	men 
mennyien	mennyi en	mennyi 
mennyire	mennyi re	mennyi 
mennyiségét	mennyi ség ét	mennyi 
mentési	mentés i	ment
mentést	mentés t	ment
mentette	ment ett e	ment 
menti	ment i	ment 
mentőalakulatok	mentő alakulat ok	ment
mentőszolgálat	mentő szolgál at	ment
merényletek	merénylet ek	merénylet
merénylő	merénylő	merénylő
mérföldre	mér föld re	mérföld 
Merje	Mer je	Mer
mérlegelték	mér leg el t ék	mér
mértek	mért ek	mér
mért	mér t	mér 
mesélte	mesél te	mesél
méteres	méter es	méter 
metró	metró	metró
mezőgazdasági	mező gazda ság i	gazda 
mezőgazdaság	mező gazda ság	gazda
Mianmarba	Mianmar ba	Mianmar 
mianmari	mianmar i	mianmar 
Miatyankot	Mi atyank ot	atyank
Miért	Mi ért	Mi
migránsáradat	migráns áradat	migráns 
MIGRÁNSOKAT	MIGRÁNS OK AT	MIGRÁNS 
mihamarabbi	mi hamar abb i	hamar
Mikor	Mi kor	kor
Mindenesetre	Minden eset re	eset 
mindenféle	mind en féle	mind
mindenképp	mind en képp	mind 
mindennapos	mind en nap os	mind 
mindent	mind en t	mind 
mindkét	mind két	mind
mindmáig	mind máig	mind 
Mindnyájunknak	Mind nyájunk nak	Mind 
minél	mi nél	mi 
minimum	minimum	minimum
miniszterelnök	miniszter elnök	miniszter 
mintegy	mint egy	egy
Mire	Mi re	Mi 
mit	mit	mi
mivé	mi vé	mi 
mobilitására	mobilitás ára	mobil
model	model	model
módja	mód ja	mód 
Mondtak	Mond ta k	Mond 
mondták	mond tá k	mond 
mondta	mond ta	mond 
monitoromon	monitor om on	monitor 
Mostanra	Most an ra	Most 
mozaikkal	mozaik kal	mozaik 
mozit	mozi t	mozi 
működik	mű ködik	működik
mulasztás	mulaszt ás	mulaszt 
múltán	múlt án	múlt 
Munkacsoport	Munka csoport	Munka 
munkája	munká ja	munká 
munkájukat	munká juk at	munká 
munkálatok	munká lat ok	munká
munkássága	munká s ság a	munká 
mutatják	mutat ják	mutat
mutat	mutat	mutat
mutatók	mutat ók	mutat 
mutatták	mutatt ák	mutatt 
mutatva	mutat va	mutat 
művelés	művel és	mű
műveletek	művel et ek	mű
művelt	művel t	mű
művészet	művész et	mű
Nagyhegyesen	Nagy hegyes en	hegyes
nagyító	nagy ít ó	nagy 
nagykövete	nagy követ e	követ
nagykövetségen	nagy követ ség en	követ 
nagyobbak	nagy obb ak	nagy
Nagyon	Nagy on	Nagy
nagysága	nagy ság a	nagy
nálunk	nálunk	nálunk
Napi	Nap i	Nap
napja	nap ja	nap
naplementét	nap lementé t	nap 
naponta	nap on ta	nap
napot	nap ot	nap
napszakban	nap szak ban	nap 
négyes	négy es	négy
négy	négy	négy
Nekünk	Nekünk	Nekünk
NÉLKÜL	NÉLKÜL	NÉLKÜL
Német	Német	Német
Németországban	Német ország ban	Német
nemzetgyűlés	nemzet gyűl és	nemzet 
ne	ne	ne
népegészségügyi	nép egész ség ügy i	egész 
népet	nép et	nép 
nevéhez	nev é hez	nev 
neveknek	nevek nek	nev
nevű	nev ű	nev 
nézd	néz d	néz 
nézegetni	néz e get ni	néz 
Norvégiához	Norvégiá hoz	Norvégiá 
nőstény	nőst ény	nő
növekvő	nö vek vő	nö 
növeli	növel i	nö
novemberi	november i	november
November	November	November
növényzet	növény zet	növény 
nyakamba	nyakam ba	nyakam 
nyaralás	nyar al ás	nyar
nyelven	nyelv en	nyelv 
nyerik	nyer ik	nyer
nyilatkozták	nyilatkoz ták	nyilatkoz 
nyíl	nyíl	nyíl
nyilváníto	nyilván ít o	nyilván 
nyílvánvaló	nyílván való	nyílván 
nyíregyházi	nyíregyház i	nyíregyház 
nyomán	nyom án	nyom
nyomóerő	nyom ó erő	nyom 
nyomóhatás	nyomó hatás	nyom
nyomon	nyom on	nyom 
Nyomozás	Nyom oz ás	Nyom
nyomtalanul	nyom talan ul	nyom 
nyugati	nyugat i	nyugat 
nyújtani	nyújt ani	nyújt 
nyújtott	nyújt ott	nyújt 
Ócsai	Ócsa i	Ócsa 
okozó	okoz ó	ok
okozott	okoz ott	ok
okozva	okoz va	ok
okozzák	okoz zák	ok
Oktatókórház	Oktató kór ház	Oktat
Ökumenikus	Ökumenikus	Ökumenikus
olasz	olasz	olasz
Olaszországban	Olasz ország ban	Olasz 
olcsó	olcsó	olcsó
oldalának	oldal á nak	oldal 
oldalára	oldal á ra	oldal 
oldalelmozdulásos	oldal el mozdul ás os	oldal 
oldalirányban	oldal irány ban	oldal 
oldalt	oldal t	oldal 
olimpiai	olimpia i	olimpia 
oltási	oltás i	olt
oltást	oltás t	olt
öltek	öl tek	öl 
oltórepülővel	oltó repülő vel	repülő 
öltözet	öltöz et	öltöz 
oltsunk	olt sunk	olt 
oltunk	olt unk	olt 
olvasztáshoz	olvaszt ás hoz	olvaszt 
olyan	olyan	olyan
olykor	olykor	olykor
Omani	Oman i	Oman 
Öngyilkos	Ön gyilkos	gyilkos
óráig	órá ig	órá 
óránként	órá nk ént	órá
órára	órá ra	órá 
órát	órá t	órá 
órával	órá val	órá 
orkán	orkán	orkán
örményt	örmény t	örmény 
örökölték	örök öl t ék	örök 
Orosz	Orosz	Orosz
Oroszország	Orosz ország	Orosz 
országainak	ország a i nak	ország 
országban	ország ban	ország 
Országjáró	Ország jár ó	Ország 
Országos	Ország os	Ország
örvénylik	örvény lik	örvény 
összefogassal	össze fog as s al	fog
összefoglalom	össze fog lal om	fog 
osszefutottam	ossze futott am	fut
osszefutottunk	ossze futott unk	fut
összegyűjteni	össze gyűjt en i	gyűjt 
ossze	ossze	ossze
összetartásukat	össze tartás u kat	tart
összetartó	össze tart ó	tart
ostromát	ostrom át	ostrom 
ösvényekről	ösvény ek ről	ösvény
Őszinte	Őszinte	Őszinte
oszlopot	oszlop ot	oszlop 
osztogatnak	oszt o gat nak	oszt 
osztrák	osztrák	osztrák
ötletet	ötlet et	ötlet 
ötletnek	ötlet nek	ötlet 
ötmillió	öt millió	millió
otodikrol	ot odik rol	ot 
otthagyták	ott hagyt ák	hagy
otthonban	otthon ban	otthon
ott	ott	ott
övezetben	övezet ben	övezet 
oxigén	oxigén	oxigén
pakoltak	pakol tak	pakol 
palackokat	palack ok at	palack 
pálmaolajtól	pálma olaj tól	olaj 
pályán	pályá n	pályá 
pályaudvaron	pálya udvar on	udvar
panaszokat	panasz ok at	panasz
papírlappal	papír lap pal	papír
Pápua	Pápua	Pápua
párizsi	párizs i	párizs 
parkban	park ban	park 
parkocska	park ocs ka	park 
parkoloig	parkolo ig	park
Párok	Pár ok	Pár 
partoknál	part ok nál	part 
partszakaszokon	part szakasz ok on	part 
parttalan	part talan	part 
patikabol	patika bol	patika
pattogva	pattog va	pattog 
pedig	pedig	pedig
példa	példa	példa
Pénteken	Péntek en	Péntek 
pénteki	péntek i	péntek 
penztarcamat	penz tarcam at	tarcam
perces	perc es	perc 
peremén	perem én	perem 
peremkerületeiben	perem kerület ei ben	perem 
pernyét	perny ét	pernyé
perzselő	perzsel ő	perzsel 
pesti	pest i	pest 
pihentető	pihent et ő	pihent 
pikantériát	pikantériá t	pikantériá 
piknikező	piknik ező	piknik
pillanatokon	pillanat ok on	pillanat 
pillantottunk	pillant ott unk	pillant 
pincéjébe	pincé jé be	pincé
pokolgépes	pokol gép e s	gép 
pokolgép	pokol gép	gép
polgármester	polgár mester	mester
Polinéziára	Polinéziá ra	Polinéziá
pompával	pompá val	pompá 
poprádi	poprád i	poprád 
porfelhőt	por felhő t	por
portrékák	portréká k	portréká 
Potenciálja	Potenciá lja	Potenciá 
pozitív	pozitív	pozitív
Próbáljuk	Próbál juk	Próbá
probara	proba ra	proba 
Problémái	Problémá i	Problémá 
programjaként	program ja ként	program 
programokon	program ok on	program
programok	program ok	program 
program	program	program
publikációban	publikáció ban	publikáció 
pulzusa	pulzus a	pulzus 
pusztítottak	pusztít ott ak	pusztít
pusztították	pusztít ot t ák	pusztít
ráakadtunk	rá akad t unk	akad
Rába	Rába	Rába
ragadt	ragad t	ragad 
rajzanak	rajza nak	raj
rakétatamádás	rakéta tamád ás	tamád
rakna	rak na	rak 
rakta	rak ta	rak 
reggel	reggel	reggel
régióban	régió ban	régió 
rejtélyes	rejtély es	rejtély
rejt	rejt	rejt
Rekorddöntő	Rekord döntő	Rekord 
rekord	rekord	rekord
remegni	remeg ni	remeg 
remeg	remeg	remeg
rémisztő	rémiszt ő	rém
rémülve	rémül ve	rém
rendelkező	rend el kez ő	rend 
rendőrség	rend őrség	rend 
rendszerére	rendszer é re	rend
rengesek	reng es ek	reng
reptérben	reptér ben	reptér 
reptéren	reptér en	reptér 
repülőn	repül őn	repül
repülőterein	repül ő ter e in	repül 
repülőterének	repül ő ter é nek	repül
repülőterét	repül ő ter é t	repül 
reszesei	resz es e i	resz 
részletekbe	rész let ek be	rész 
részleteket	rész let ek et	rész 
részletek	rész let ek	rész 
részvételt	rész vétel t	rész 
részvéttávirat	rész vét távirat	rész 
rétegeiben	réteg ei ben	réteg 
retteges	retteg es	retteg
riadót	riadó t	riadó 
riasztották	riaszt ott ák	riaszt 
riogatásként	riogat ás ként	riogat 
rizst	rizs t	rizs 
robbanásos	robban ás os	robban 
Robbanás	Robban ás	Robban
robbantanak	robban t anak	robban 
rohadék	rohad ék	rohad 
rohamokkal	roham ok kal	roham 
rohanó	rohan ó	rohan 
rohantak	rohan t ak	rohan 
rongált	rongál t	rongál 
roskadozo	roskad ozo	roskad 
rosszak	rossz ak	rossz 
rossz	rossz	rossz
rovarölőszert	rovar ölő szer t	rovar 
rovar	rovar	rovar
rövidebb	rövid ebb	rövid 
rövid	rövid	rövid
rúgna	rúg na	rúg 
ruhát	ruhá t	ruhá 
sárgaláz	sárga láz	láz
sarkvidéki	sark vidék i	vidék 
sebességű	seb esség ű	sebes
segélyben	segély ben	segély 
segélyirodát	segély irodá t	segély 
segélyprogramjának	segély program já nak	segély 
segélyt	segély t	segély 
segíteni	segít eni	segít 
segitettem	segit et tem	segit
segíti	segít i	segít 
segitséget	segit ség et	segit 
segítségét	segít ség ét	segít 
sejtem	sejtem	sej
sejtfelszíni	sejt felszín i	sejt 
selyemút	selyem út	selyem 
sérülésekkel	sérülés ek kel	sérül
sérültet	sérült et	sérül
se	se	se
seta	seta	seta
sikeresen	siker es en	siker
sikerült	siker ült	siker 
síkság	sík ság	sík
Síliftről	Sí lift ről	Sí 
sírokhoz	sír ok hoz	sír 
sisak	sisak	sisak
Skóciában	Skóciá ban	Skóciá 
sokak	sok ak	sok 
sokba	sok ba	sok 
sokkal	sok kal	sok 
sokszor	sok szor	sok 
söpör	söpör	söpör
során	sor án	sor 
sorba	sor ba	sor
sorozat	sor oz at	sor 
sorra	sor ra	sor
sorrendjét	sor rend jét	sor 
spanyolok	spanyol ok	spanyol 
Spanyolországban	Spanyol ország ban	Spanyol 
specifikus	specifikus	specifikus
Spitzbergák	Spitzberg ák	Spitzbergák
sportág	sport ág	sport
sportarénában	sport aréná ban	sport 
sportbiztosítással	sport biztosítás s al	sport 
sport	sport	sport
stadionjaira	stadion ja i ra	stadion 
statisztikák	statisztiká k	statisztiká 
Strombolihoz	Stromboli hoz	Stromboli 
Strombolit	Stromboli t	Stromboli 
sugarú	sugar ú	sugar
sújtja	sújt ja	sújt 
sújtó	sújt ó	sújt 
sújtottak	sújt ott ak	sújt 
sújtott	sújt ott	sújt 
sulyos	suly os	suly 
sürgősségi	sürgős ség i	sürgős 
szabadságot	szabad ság ot	szabad 
szabadulnak	szabad ul nak	szabad 
szabadul	szabad ul	szabad 
szabadult	szabad ul t	szabad 
szakadva	szakad va	szakad 
szakaszában	szak asz á ban	szakasz 
szakasznak	szak asz nak	szakasz 
szakaszon	szak asz on	szakasz
szakemberei	szak embe re i	embe
Szakértők	Szak értő k	ért
szállítható	szállít hat ó	száll
szállítmányt	szállít mány t	száll
szállító	szállít ó	száll
szállóban	szálló ban	száll
szállodai	szálloda i	száll
számára	szám ára	szám 
számítani	szám ít ani	szám
számolni	szám ol ni	szám
Számos	Szám os	Szám
számukra	számuk ra	szám
Számunkra	Számunk ra	Szám
száradva	szárad va	szárad 
szárazabbá	száraz abb á	száraz
származnak	származ nak	származ 
szarvasmarha	szarvas marha	marha
szavait	szava i t	sza
szavaival	szava i val	sza
Szavazás	Szavaz ás	Sza
Századából	Századá ból	Száz
százak	száz ak	száz 
százalékkal	száz alékk al	száz 
százötven	száz ötven	száz 
szedi	szed i	szed 
széfben	széf ben	széf
széklettel	szék lett el	széklet
szektorban	szektor ban	szektor
szelenek	szel e nek	szel
szélén	szélé n	szél
széléről	szélé ről	szél
széllökésekkel	szél lökés ekk el	szél 
szel	szel	szel
szembenézniük	szembe nézni ük	szem
személyautó	személy autó	autó
személyazonosságát	személy azonos ság át	személy 
személyes	személy es	személy 
személyzetből	személy zet ből	személy 
szemetelünk	szemet e lünk	szemet 
szempontból	szem pont ból	szem
Szemtanúk	Szem tanú k	Szem 
szemtanú	szem tanú	szem 
szemüveggel	szem üvegg el	szem 
szennyező	szenny ez ő	szenny 
szennyt	szenny t	szenny 
szentély	szen tély	szent
szentgotthárdi	szentgotthárd i	szentgotthárd 
Szent	Szent	Szent
szepen	szep en	szep 
szépségét	szép ség ét	szép 
Szép	Szép	Szép
szerdára	szerdá ra	szerdá 
szerda	szerda	szerda
szerencsére	szerencsé re	szerencsé 
szerencsétlenség	szerencsé tlen ség	szerencsé 
szerepet	szerep et	szerep 
szeretet	szeret et	szeret 
szeretné	szeret né	szeret 
szerezhetünk	szerez het ünk	szerez 
szerin	szerin	szerin
Szerintem	Szerint em	Szerint 
Szerint	Szerint	Szerint
Szerintünk	Szerint ünk	Szerint 
szerkesztőknek	szerkeszt ő k nek	szerkeszt 
szer	szer	szer
szertartása	szer tartás a	szer
Szervezetének	Szervez et é nek	Szerv
szervezőjét	szervez ő jét	szerv
szerv	szerv	szerv
szétfolyva	szét foly va	foly 
szétzúzott	szét zúz ott	zúz 
szigetcsoport	sziget csoport	sziget 
szilveszterezni	szilveszter ez ni	szilveszter 
színgazdag	szín gazdag	gazdag
szívderítő	szív derít ő	szív
szívós	szív ós	szív 
szóban	szó ban	szó
szobát	szobá t	szobá 
Szocsiban	Szocsi ban	Szocsi 
szökött	szök ött	szök 
Szolgálat	Szolgál at	Szolgál 
szolgál	szolgál	szolgál
szolo	szolo	szol
szól	szól	szól
szólt	szól t	szól 
szólva	szól va	szól
Szomáliai	Szomália i	Szomália 
szombati	szombat i	szombat 
szombaton	szombat on	szombat 
szombat	szombat	szombat
Szörnyű	Ször nyű	Ször 
szorosan	szoros an	szoros 
szó	szó	szó
szoval	szo val	szo 
Szövetségi	Szövetség i	Szövetség 
szövődményeibe	szövőd mény e ibe	szö
szubjektíven	szubjektív en	szubjektív 
szudánban	szudán ban	szudán 
szuk	szuk	szuk
szűk	szűk	szűk
szülei	szül e i	szül 
született	szül et ett	szül
szupravezető	szupra vezető	vezető
szurkolhattunk	szurkol hat tunk	szurkol
tagja	tag ja	tag 
tag	tag	tag
tájékoztatást	tájék oztat ás t	tájék
tájfunná	tájfun ná	tájfun 
talajra	talaj ra	talaj 
talajt	talaj t	talaj 
találtak	talált ak	talál
támadások	támad ás ok	támad 
támogatások	támogat ás ok	tám
támogathatja	támogat hat ja	tám
tanácsadója	tanács adó ja	tanács 
tanácsokat	tanács ok at	tanács
tanácsolták	tanács ol t ák	tanács 
tanítsd	tan ít sd	tan 
tapasztalták	tapasztal ták	tapasztal 
tapasztalt	tapasztal t	tapasztal 
tárcsázza	tárcsáz za	tárcsáz 
tárgyaid	tárgy a i d	tárgy 
tárgyak	tárgy ak	tárgy
tarolt	tarol t	tarol
társadalmi	társadalm i	társadalm
társainak	tár sa i nak	társ
társasház	társas ház	társ
társa	társ a	társ 
tartalmaznak	tart alma z nak	tart 
tartanak	tarta nak	tart
tartják	tart já k	tart 
tartósan	tartós an	tart
tartós	tart ós	tart
tartó	tart ó	tart 
tartottak	tart ot tak	tart 
tartozik	tart oz ik	tart 
tartsák	tart sák	tart 
tart	tart	tart
tátralomnici	tátralomnic i	tátralomnic 
tavalyi	tavaly i	tavaly 
tavaszias	tavasz i as	tavasz 
tavaszi	tavasz i	tavasz 
távolodó	távol odó	táv
tavol	tavol	tav
távoznak	táv oz nak	táv 
teafőzőt	tea főző t	főz
teasüteményeket	tea sütemény e ke t	süt
tehát	tehát	tehát
tekert	teker t	teker 
tekintem	tekint em	tekint 
tektonikai	tektonika i	tektonika 
