token	segmentation
nam	nam
Na	Na
nana	nana
nananom	nana nom
n'anim	n' a nim
n'ani	n' ani
nankasa	n ankasa
n'ankasankasa	n' ankasa n kasa
nan	nan
n'ano	n'  ano
nanso	nanso
nantam	nan tam
nante	nante
n'aporɔbɔ	n' a porɔ bɔ
n'asɛdeɛ	n' a sɛ deɛ
n'ase	n' a se
n'aso	n' aso
n'ataadeɛ	n' ataadeɛ
n'ayi	n' ayi
Nea	Nea
nenam	ne nam
Ne	Ne
nɛ	nɛ
n'enyim	n' e nyim
neyɔeɛ	n eyɔ eɛ
nhunu	n hu nu
nhwehwɛmuahunu	n hwe hwɛ mua hu nu
nhwehwɛmu	n hwe hwɛ mu
nhyehyɛeɛ	n hye hyɛ eɛ
nhyɛ	n hyɛ
nie	nie
nimdeɛ	nimdeɛ
ni	ni
nipa	nipa
nisuo	nisuo
nkaa	n kaa
nkabom	nkabom
nkakra	n kakra
nkakrankakra	n kakra n kakra
nkanea	n kanea
nka	n ka
Nkankan	N kan kan
nkankɔ	n kankɔ
Nkawuramu	Nkawuramu
nketenkete	nkete nkete
nkoasom	n koa som
nkoden	n koden
nkɔgu	n kɔ gu
nkɔkorafoɔ	n kɔkora foɔ
nkɔma	n kɔ ma
nkɔmmɔɛna	nkɔmmɔ ɛna
nkɔmmɔ	nkɔmmɔ
nkɔm	n kɔm
nkonimdifoɔ	nkonim di foɔ
nkonim	nkonim
nko	n ko
nkɔ	n kɔ
nkontaa	n kontaa
nkɔraa	n kɔra a
nkorabata	n kora bata
nkɔto	n kɔ to
nkɔtɔ	n kɔ tɔ
Nkɔtua	N kɔ tua
nkɔyɛɛ	n kɔ yɛ ɛ
nkɔyɛ	n kɔ yɛ
Nkran	Nkran
Nkruma	Nkruma
nkunimdie	nkunim di e
nkunimdifoɔ	nkunim di foɔ
nkunim	nkunim
nkuraseɛ	nkura se ɛ
nkurɔfoɔ	n kurɔ foɔ
Nkwadaa	N kwadaa
Nkwaeɛso	Nkwae ɛ so
nkwa	nkwa
nkwan	n kwan
nkyɛ	n kyɛ
nkyerɛɛ	n kyerɛ ɛ
nkyerɛkyerɛmu	n kyerɛ kyerɛ mu
nkyerɛmu	n kyerɛ mu
nkyerɛ	n kyerɛ
nnaano	n na ano
nnaduafoɔ	n <n>adua foɔ
nnamfofoɔ	n <n>amfo foɔ
nna	nna
nnan	n nan
nnano	n nano
nnante	n nante
nnawɔtwe	n nawɔtwe
nneɛma	n <n>e ɛ ma
nnɛ	nnɛ
nnɛteɛ	nnɛ teɛ
nni	nni
nnipa	n nipa
nnnoɔma	n nnoɔma
nnoa	n noa
nnɔn	n nɔn
Nnua	N nua
nnum	n num
nnuru	n nuru
nnwu	n nwu
nnya	n nya
nnye	n nye
nnyɛ	n nyɛ
nnyinasoɔ	n nyina soɔ
nɔma	nɔma
nom	nom
nɔ	nɔ
nsadwaase	nsa dwaase
nsakraeɛ	n sakrae ɛ
nsam	n sam
nsamsoɔ	nsam soɔ
nsane	n sane
nsa	nsa
nseɛdo	nseɛ do
nsɛmfo	nsɛm fo
Nsɛm	N sɛm
nsɛnhunu	nsɛn hunu
Nsɛnkeka	Nsɛn keka
nse	nse
Nsɛ	Nsɛ
nsɛntwerɛfoɔ	nsɛn twerɛ foɔ
nsɛntwerɛfoɔ	nsɛn twerɛ foɔ
nsia	nsia
nso	nso
nsɔ	n sɔ
nsɔreɛ	n sɔre ɛ
nsɔre	n sɔre
nsrahwɛ	nsra hwɛ
Nsuo	Nsuo
Ntaafoɔ	Ntaa foɔ
ntae	n ta e
ntam	n tam
Nteaseɛ	Ntease ɛ
nteeɛ	nte eɛ
ntɛm	n tɛm
ntena	n tena
nte	n te
ntɛntɛntɛm	ntɛntɛntɛm
nti	nti
ntira	n tira
ntɔkwa	ntɔkwa
ntom	n tom
ntɔ	n tɔ
ntoosi	ntoosi
ntorɔ	n torɔ
Ntɔtorɔso	N tɔ torɔ so
ntuaa	n tua a
ntua	n tua
ntumi	n tumi
ntu	n tu
nua	nua
num	num
nwansena	nwansena
Nwanwani	Nwa nwa ni
nwineeɛ	nwin eeɛ
nwini	n wini
nwura	n wura
nyaa	n yaa
nyaeɛ	n yaeɛ
Nyame	Nyame
nyamu	n yamu
Nyankopɔn	Nyankopɔn
nyan	n yan
nyansa	nyansa
nya	n ya
Nyarewa	N yare wa
nyɛɛ	nyɛ ɛ
Nyɛ	N yɛ
nyiaa	n yia a
nyinaa	nyina a
nyiyimu	n yiyi mu
ɔakɔ	ɔ a kɔ
ɔayɛ	ɔ a yɛ
ɔbaa	ɔ baa
ɔba	ɔ ba
Ɔba	Ɔ ba
ɔbɛba	ɔ bɛ ba
ɔbɛbu	ɔ bɛ bu
ɔbɛfa	ɔ bɛ fa
ɔbɛfiri	ɔ bɛ firi
ɔbɛgya	ɔ bɛ gya
ɔbɛgye	ɔ bɛ gye
ɔbɛhwɛ	ɔ bɛ hwɛ
ɔbɛkaa	ɔ bɛ ka a
ɔbɛkasaeɛ	ɔ bɛ kasa eɛ
ɔbɛkasa	ɔ bɛ kasa
ɔbɛma	ɔ bɛ ma
ɔbɛ	ɔ bɛ
ɔbɛpɛ	ɔ bɛ pɛ
ɔbɛsan	ɔ bɛ san
ɔbɛto	ɔ bɛ to
ɔbɛtumi	ɔ bɛ tumi
ɔbɛtwam	ɔ bɛ twam
ɔbɛtwerɛ	ɔ bɛ twerɛ
ɔbɛwie	ɔ bɛ wie
ɔbɛyɛɛ	ɔ bɛ yɛ ɛ
Ɔbɛyɛɛ	Ɔ bɛ yɛ ɛ
ɔbɛyɛ	ɔ bɛ yɛ
obiara	obiara
Obi	Obi
obira	o bira
ɔbisa	ɔ bisa
Ɔbɔɔ	Ɔ bɔ ɔ
Obuaseman	Obuase man
ɔde	ɔ de
Ɔdidi	Ɔ di di
Ɔdikrɛɛ	Ɔ di krɛ ɛ
ɔdi	ɔ di
ɔdɔ	ɔ dɔ
Ɔfaa	Ɔ fa a
ɔfese	ɔ fese
ɔfiri	ɔ firi
Ɔfiri	Ɔ firi
Ɔgu	Ɔ gu
ɔgyaa	ɔ gya a
ɔgye	ɔ gye
ɔhene	ɔ hene
ɔhuri	ɔ huri
ɔhwɛ	ɔ hwɛ
ɔhyɛɛ	ɔ hyɛ ɛ
ɔhyɛ	ɔ hyɛ
ɔkaeɛ	ɔ kae ɛ
ɔkae	ɔ kae
Ɔkan	Ɔ kan
ɔka	ɔ ka
ɔkasaeɛ	ɔ kasa eɛ
Ɔkɔeɛ	Ɔ kɔ eɛ
ɔkɔgyee	ɔ kɔ gye e
ɔkɔgyinaa	ɔ kɔ gyina a
ɔkɔka	ɔ kɔ ka
ɔkɔmhyɛni	ɔ kɔm hyɛ ni
ɔko	ɔ ko
ɔkɔ	ɔ kɔ
Ɔkɔ	Ɔ kɔ
Ɔkɔɔ	Ɔ kɔ ɔ
ɔkɔpuee	ɔ kɔ pue e
ɔkɔsesa	ɔ kɔ sesa
ɔkura	ɔ kura
ɔkyena	ɔ kyena
ɔkyɛ	ɔ kyɛ
ɔmaa	ɔ ma a
ɔmamfoɔ	ɔ mam foɔ
ɔmanfoɔ	ɔ man foɔ
ɔman	ɔ man
Ɔman	Ɔ man
ɔmanpanin	ɔ man panin
Ɔmanpanin	Ɔ man panin
ɔmanpanyin	ɔ man panyin
ɔma	ɔ ma
ɔmfa	ɔ m fa
Ɔmfa	Ɔ m fa
ɔmmɛboa	ɔ m <m>ɛ boa
ɔmmra	ɔ m <m>ra
ɔmo	ɔ mo
Ɔmo	Ɔ mo
ɔmpue	ɔ m pue
ɔnam	ɔ nam
ɔne	ɔ ne
ɔnim	ɔ nim
onimuonyamfoɔ	o nimuonyam foɔ
Onipa	O nipa
ɔnisoɔdehunu	ɔ niso ɔ de hunu
ɔnkɔ	ɔ n kɔ
ɔnnya	ɔ n <n>ya
ɔno	ɔ no
Ɔno	Ɔ no
ɔnsi	ɔ n si
Ɔnsue	Ɔ n sue
ɔnto	ɔ n to
Onyame	Onyame
ɔnya	ɔ n ya
ɔnyɛ	ɔ n yɛ
Ɔnyɛ	Ɔ n yɛ
ɔnyi	ɔ n yi
Ɔpanini	Ɔ panin i
opanin	o panin
Ɔpanin	Ɔ panin
ɔpa	ɔ pa
ɔpɛ	ɔ pɛ
Ɔpɛ	Ɔ pɛ
ɔpepepeepeepee	ɔpepepeepeepee
Opiraeɛ	O pira eɛ
opira	o pira
ɔplay	ɔ play
ɔpue	ɔ pue
ɔrebɛhwehwɛ	ɔ re bɛ hwe hwɛ
ɔrebɛsɔ	ɔ re bɛ sɔ
ɔrebɔ	ɔ re bɔ
ɔredwane	ɔ re dwane
ɔrefa	ɔ re fa
ɔregyina	ɔ re gyina
ɔrehwɛ	ɔ re hwɛ
ɔrekɔda	ɔ re kɔ da
Ɔrema	Ɔ re ma
ɔrentumi	ɔ re n tumi
ɔrepa	ɔ re pa
ɔrepue	ɔ re pue
ɔreto	ɔ re to
ɔretu	ɔ re tu
ɔrewura	ɔ re wura
ɔreyɔ	ɔ re yɔ
Osafo	Osafo
Ɔsan	Ɔ san
osebre	o se bre
ɔse	ɔ se
Ɔse	Ɔ se
osono	osono
Ɔsono	Ɔsono
ɔtena	ɔ tena
Ɔte	Ɔ te
ɔtim	ɔ tim
ɔto	ɔ to
ɔtɔ	ɔ tɔ
otua	o tua
ɔtua	ɔ tua
ɔtumi	ɔ tumi
ɔtuu	ɔ tu u
ɔwɔ	ɔ wɔ
Ɔwɔ	Ɔ wɔ
owuo	owuo
Owura	Owura
ɔyareɛ	ɔ yare ɛ
ɔyɛɛ	ɔ yɛ ɛ
Ɔyɛɛ	Ɔ yɛ ɛ
ɔyii	ɔ yi i
Oyi	O yi
paa	pa a
paapa	paapa
pagya	pagya
pamo	pamo
panin	panin
Pa	Pa
papaapa	papaapa
papa	papa
Pee	Pee
peepeepeepee	peepeepeepee
pɛn	pɛn
pɛ	pɛ
pɛpɛɛpɛ	pɛ pɛ ɛ pɛ
peprɛpeprɛ	peprɛ peprɛ
pere	pere
pi	pi
Polisifoɔ	Polisi foɔ
polisini	polisi ni
poma	poma
pono	pono
po	po
pɔ	pɔ
porɛeɛ	porɛe ɛ
pɔtee	pɔtee
pra	pra
pue	pue
reba	re ba
rebɛhwehwɛ	re bɛ hwe hwɛ
rebɛka	re bɛ ka
rebɛkyerɛ	re bɛ kyerɛ
rebɛsesa	re bɛ sesa
rebɛtwa	re bɛ twa
rebɛyɛ	re bɛ yɛ
redi	re di
refiri	re firi
rehuru	re huru
rehwɛ	re hwɛ
rekasa	re kasa
rekɔhyɛ	re kɔ hyɛ
rekɔ	re kɔ
rekyere	re kyere
repue	re pue
resan	re san
resere	re sere
retae	re ta e
retenetene	re tene tene
reto	re to
retɔ	re tɔ
retua	re tua
retuatua	re tua tua
retwɛn	re twɛn
rewura	re wura
reyɛ	re yɛ
saa	sa a
sabi	sabi
sane	sane
san	san
sɛbe	sɛ be
Sɛdeɛ	Sɛ de ɛ
sɛde	sɛ de
see	se e
Seesei	Seesei
senea	sene a
sɛn	sɛn
sesaa	sesa a
sesa	sesa
se	se
Sɛ	Sɛ
sɛsɛɛ	sɛ sɛɛ
sie	sie
siiɛ	sii ɛ
sii	sii
Sika	Sika
sini	sini
si	si
sisii	sisi i
sisi	sisi
soa	soa
sofoɔ	sofoɔ
sɔfoɔ	sɔfoɔ
som	som
soɔ	soɔ
soro	soro
so	so
stationsfoɔ	stations foɔ
sua	sua
sukuu	sukuu
sum	sum
susua	susua
Tamalefoɔ	Tamale foɔ
tantan	tan tan
ta	ta
tebea	te bea
tee	te e
teɛ	te ɛ
Tenaa	Tena a
tena	tena
Te	Te
tɛ	tɛ
tiaa	tia a
tie	ti e
tipa	ti pa
tiri	tiri
ti	ti
tokuro	to kuro
tom	tom
tɔn	tɔn
tɔɔn	tɔ ɔ n
too	to o
toɔ	toɔ
tɔɔ	tɔ ɔ
toraa	tora a
tɔtee	tɔte e
to	to
tɔ	tɔ
toto	to to
tuaa	tua a
tua	tua
tumidie	tumi die
tumi	tumi
tuo	tuo
tu	tu
twaeɛ	twae ɛ
twamm	twam m
twa	twa
twɛn	twɛn
twerɛ	twerɛ
twe	twe
twetwee	twe twe e
twɛtwɛpoa	twɛ twɛ poa
twi	twi
two	two
wabae	w a ba e
wabaɛyɛ	w aba ɛyɛ
w'aba	w' a ba
waba	w a ba
wabɛforo	w a bɛ foro
wabɛka	w a bɛ ka
waben	w a ben
wabɛtena	w a bɛ tena
wabɛyɛ	wa bɛ yɛ
wabɛyi	w a bɛ yi
wabɔ	w a bɔ
wabue	w a bue
wadi	w a di
w'adwene	w' a dwene
wae	wa e
wafrɛ	w a frɛ
wagye	w a gye
wahunu	w a hunu
Wahu	W a hu
wahyɛ	w a hyɛ
wakasa	w a kasa
wakɔfa	w a kɔ fa
wakyea	w a kye a
wakyekyere	w a kye kyere
Wakyerɛkyerɛ	W a kyerɛ kyerɛ
wakyerɛ	w a kyerɛ
w'amammerɛ	w' ama <m> merɛ
wama	w a ma
wamuna	w a muna
wanante	w a nante
w'anim	w' a nim
w'ani	w' a ni
w'ano	w' ano
wantie	w a n tie
wanya	w a n ya
wasane	w a sane
wasan	w a san
Wasa	W a sa
w'asɛdeɛ	w' a sɛ deɛ
wasesa	w a sesa
w'asetena	w' ase tena
wate	w a te
watumi	w a tumi
wayi	w a yi
wei	wei
werɛ	werɛ
wiase	wiase
wieeɛ	wie eɛ
wiem	wiem
wie	wie
woaba	wo a ba
wɔaba	wɔ a ba
wɔabɛgu	wɔ a bɛ gu
woabɛtwam	wo a bɛ twam
wɔabɛyɛ	wɔ a bɛ yɛ
Wɔaboa	Wɔ a boa
woabɔ	wo a bɔ
wɔabɔ	wɔ a bɔ
woadaworoma	wo adaworoma
woadi	wo a di
wɔadum	wɔ a dum
wɔagya	wɔ a gya
wɔagye	wɔ a gye
Woahunu	Wo a hu nu
wɔahyɛ	wɔ a hyɛ
woakan	wo a kan
wɔaka	wɔ a ka
wɔakɔfa	wɔ a kɔ fa
wɔakɔsesa	wɔ a kɔ sesa
woakɔto	wo a kɔ to
woakɔ	wo a kɔ
wɔakɔ	wɔ a kɔ
woanim	wo anim
Woantumi	Wo a n tumi
woanya	wo a n ya
wɔanya	wɔ a n ya
woanyɛ	wo a n yɛ
wɔapaakepaake	wɔ a paake paake
woapepa	wo a pepa
woara	woara
wɔasane	wɔ a sane
woasan	wo a san
wɔasan	wɔ a san
wɔasɛesɛe	wɔ a sɛe sɛe
woasie	wo asie
wɔasi	wɔ a si
wɔasɔ	wɔ a sɔ
woatena	wo a tena
Woate	Wo a te
wɔate	wɔ a te
wɔatoa	wɔ a toa
wɔatoto	wɔ a to to
wɔatɔ	wɔ a tɔ
wɔatu	wɔ a tu
wɔatwe	wɔ a twe
woa	woa
woayɛ	wo a yɛ
wɔayɛ	wɔ a yɛ
wɔayi	wɔ a yi
wɔbaa	wɔ ba a
wɔbaeɛ	wɔ ba eɛ
woba	wo ba
wɔba	wɔ ba
Wobɛba	Wo bɛ ba
wobɛbue	wo bɛ bue
wɔbɛbue	wɔ bɛ bue
wobɛbu	wo bɛ bu
wobɛduru	wo bɛ duru
wɔbɛdwo	wɔ bɛ dwo
wobɛfrɛ	wo bɛ frɛ
wobɛhunu	wo bɛ hu nu
wɔbɛhunu	wɔ bɛ hu nu
Wobɛhwɛ	Wo bɛ hwɛ
Wobɛkae	Wo bɛ kae
wobɛkɔ	wo bɛ kɔ
wobɛma	wo bɛ ma
wobɛnom	wo bɛ nom
wobɛnya	wo bɛ nya
wobɛpɛ	wo bɛ pɛ
wobɛsane	wo bɛ sane
wɔbɛsa	wɔ bɛ sa
wobɛtie	wo bɛ tie
wɔbɛtɔadeɛ	wɔ bɛ tɔ ade ɛ
wɔbɛto	wɔ bɛ to
wobɛtua	wo bɛ tua
wɔbɛyɛɛe	wɔ bɛ yɛ ɛe
wɔbɛyɛɛ	wɔ bɛ yɛ ɛ
wobɛyɛ	wo bɛ yɛ
wɔbɛyɛ	wɔ bɛ yɛ
Wobisa	Wo bisa
wobɔ	wo bɔ
wobɔwura	wo bɔ wura
wodane	wo dane
Wodeɛ	Wo de ɛ
wode	wo de
wɔde	wɔ de
wɔdi	wɔ di
wɔdumm	wɔ dum m
wɔdum	wɔ dum
wɔduruu	wɔ duru u
Wofa	Wo fa
wɔfa	wɔ fa
Wofiri	Wo firi
Wofo	Wo fo
wɔfrɛ	wɔ frɛ
wogya	wo gya
Wogye	Wo gye
wɔgye	wɔ gye
wogyina	wo gyina
wɔhane	wɔ hane
wɔhɔ	wɔ hɔ
Wɔhunuiɛ	Wɔ hu nu iɛ
wohunuuiɛ	wo hu nu u iɛ
wohunuu	wo hu nu u
wɔhunuu	wɔ hu nu u
Wohwɛ	Wo hwɛ
wɔka	wɔ ka
wokɔduru	wo kɔ duru
Wokɔɔ	Wokɔ ɔ
wɔkɔtenaa	wɔ kɔ tena a
wokɔtɔn	wo kɔ tɔn
wokɔto	wo kɔ to
wokɔtɔ	wo kɔ tɔ
wɔkɔ	wɔ kɔ
wɔkura	wɔ kura
wokuta	wo ku ta
Wɔkyerɛɛ	Wɔ kyerɛ ɛ
wɔkyerɛ	wɔ kyerɛ
wɔmaa	wɔ ma a
woma	wo ma
womfa	wo m fa
wɔmfa	wɔ m fa
wɔmma	wɔ m <m>a
wɔmmɛhunu	wɔ m <m>ɛ hu nu
wɔmmɛsa	wɔ m <m>ɛsa
wɔmmoa	wɔ m <m>oa
wommɔɔ	wo m <m>ɔ ɔ
wɔmmra	wɔ m <m>ra
wɔmpɛ	wɔ m pɛ
wom	wom
wonam	wo nam
wɔneɛ	wɔ ne ɛ
wonenam	wo ne nam
wɔnenam	wɔ ne nam
wone	wo ne
wɔne	wɔ ne
Wonhunu	Wo n hu nu
wɔnhunu	wɔ n hu nu
Wɔnhwɛ	Wɔ n hwɛ
wɔnhyɛɛ	wɔ n hyɛ ɛ
Wonim	Wo nim
wɔnim	wɔ nim
wɔnkɔto	wɔ n kɔ to
wɔnkɔtwa	wɔ n kɔ twa
wonnim	wo n <n>im
wɔnnim	wɔ n <n>im
wonni	wo n <n>i
wɔnni	wɔ n <n>i
wɔnnya	wɔ n <n>ya
wonnye	wo n <n>ye
wɔnnye	wɔ n <n>ye
wɔnom	wɔ nom
wontua	wo n tua
wɔntua	wɔ n tua
wontumi	wo n tumi
wɔntumi	wɔ n tumi
wɔntwe	wɔ n twe
wonua	wo nua
Wɔn	Wɔn
wonyaeɛ	wo n ya eɛ
Wonyare	Wo n yare
wɔnya	wɔ n ya
wɔnyɛ	wɔ n yɛ
wonyin	wo n yin
wɔnyi	wɔ n yi
wopɛ	wo pɛ
wɔpɛ	wɔ pɛ
Wɔpɔn	Wɔ pɔn
wɔprapra	wɔ pra pra
wɔpuiɛ	wɔ pui ɛ
woreba	wo re ba
wɔreba	wɔ re ba
wɔrebɛpre	wɔ re bɛ pre
wɔrebɛsene	wɔ re bɛ sene
worebɛtena	wo re bɛ tena
wɔrebɛwodwo	wɔ re bɛ wo dwo
worebɛ	wo re bɛ
wɔrebɔ	wɔ re bɔ
wɔrebu	wɔ re bu
wɔredi	wɔ re di
wɔrefa	wɔ re fa
wɔregya	wɔ re gya
wɔrehwehwɛ	wɔ re hwe hwɛ
worehwɛ	wo re hwɛ
wɔrehwɛ	wɔ re hwɛ
woreka	wo re ka
worekɔfa	wo re kɔ fa
wɔrekɔka	wɔ re kɔ ka
worekɔto	wo re kɔ to
worekɔ	wo re kɔ
wɔrekɔ	wɔ re kɔ
wɔrekyerɛ	wɔ re kyerɛ
wɔrema	wɔ re ma
wɔrensesa	wɔ re n sesa
woresane	wo re sane
wɔretie	wɔ re tie
woreto	wo re to
woretua	wo re tua
wɔretwa	wɔ re twa
woreyɛ	wo re yɛ
wɔreyɛ	wɔ re yɛ
wɔsan	wɔ san
wɔsee	wɔ se e
wɔsesa	wɔ sesa
wose	wo se
woso	wo so
wosusu	wo su su
wotee	wo te e
wɔtete	wɔ te te
Wote	Wo te
wɔte	wɔ te
wotɛ	wo tɛ
wɔtoa	wɔ toa
wotom	wo tom
wɔtɔn	wɔ tɔn
woto	wo to
wɔto	wɔ to
Wotuatua	Wo tua tua
wotua	wo tua
wɔtua	wɔ tua
wotumi	wo tumi
wɔtwaa	wɔ twa a
wotwerɛɛ	wo twerɛ ɛ
wo	wo
wowɔ	wo wɔ
wɔwɔ	wɔ wɔ
wowowo	wo wo wo
woyɛɛ	wo yɛ ɛ
wɔyɛɛ	wɔ yɛ ɛ
woyɛ	wo yɛ
Wɔyɛ	Wɔ yɛ
wɔyii	wɔ yi i
wɔyi	wɔ yi
Wukuada	Wukuada
wuraa	wura a
wura	wura
Wusu	Wu su
wuu	wu u
Wwankasa	W wa n kasa
yade	y a de
yam	yam
yarefoɔ	yare foɔ
yare	yare
yaw	yaw
ya	ya
yɛaba	yɛ a ba
yɛabisa	yɛ a bisa
yɛabobɔ	yɛ a bo bɔ
yɛabɔ	yɛ a bɔ
yɛabu	yɛ a bu
yɛadi	yɛ a di
yɛadum	yɛ a dum
yɛaduru	yɛ a duru
yɛagyegye	yɛ a gye gye
yɛagye	yɛ a gye
yɛagyina	yɛ a gyina
yɛahunu	yɛ a hu nu
yɛahwɛ	yɛ a hwɛ
yɛahyehyɛ	yɛ a hye hyɛ
Yɛakan	Yɛ a kan
Yɛakɔbɔ	Yɛ a kɔ bɔ
yɛakɔduru	yɛ a kɔ duru
yɛakɔhu	yɛ a kɔ hu
yɛakɔte	yɛ a kɔ te
Yɛakɔ	Yɛ a kɔ
Yɛakyekyere	Yɛ a kye kyere
yɛama	yɛ a ma
yɛamfa	yɛ a <m> fa
yɛammoro	yɛ a <m>moro
yɛanhwɛ	yɛ a n hwɛ
yɛani	yɛ ani
yɛanto	yɛ a n to
yɛantua	yɛ a n tua
yɛanya	yɛ a n ya
yɛapamo	yɛ a pamo
Yɛapam	Yɛ a pam
yɛapene	yɛ a pene
yɛapɔn	yɛ a pɔn
Yɛasan	Yɛ a san
yɛasesa	yɛ a sesa
yɛasoa	yɛ a soa
yɛasɔre	yɛ a sɔre
yɛatie	yɛ a tie
yɛatoa	yɛ a toa
yɛatoto	yɛ a to to
yɛatɔ	yɛ a tɔ
yɛatumi	yɛ a tumi
yɛawura	yɛ a wura
yea	ye a
yɛa	yɛ a
yɛayɛ	yɛ a yɛ
yɛbaa	yɛ ba a
yɛbaeɛ	yɛ ba e ɛ
yɛba	yɛ ba
yɛbɛbisa	yɛ bɛ bisa
yɛbɛbɔ	yɛ bɛ bɔ
yɛbɛdane	yɛ bɛ dane
yɛbɛgya	yɛ bɛ gya
yɛbɛgye	yɛ bɛ gye
Yɛbɛhwɛeɛ	Yɛ bɛ hwɛ eɛ
Yɛbɛhwɛ	Yɛ bɛ hwɛ
yɛbɛka	yɛ bɛ ka
Yɛbɛkɔ	Yɛ bɛ kɔ
yɛbɛkye	yɛ bɛ kye
Yɛbɛma	Yɛ bɛ ma
yɛbɛnya	yɛ bɛ nya
yɛbɛn	yɛ bɛn
Yɛbɛsere	Yɛ bɛ sere
yɛbɛserɛ	yɛ bɛ serɛ
Yɛbɛsesa	Yɛ bɛ sesa
Yɛbɛsrɛ	Yɛ bɛ srɛ
Yɛbɛtoo	Yɛ bɛ to o
yɛbɛto	yɛ bɛ to
Yɛbɛtumi	Yɛ bɛ tumi
yɛbɛwu	yɛ bɛ wu
yɛbɛ	yɛ bɛ
yɛbɛyɛ	yɛ bɛ yɛ
yɛboa	yɛ boa
yɛbɔɔ	yɛ bɔ ɔ
yɛboro	yɛ boro
yɛbɔ	yɛ bɔ
Yɛda	Yɛ da
yɛdeda	yɛ deda
yɛdeɛ	yɛ de ɛ
yɛde	yɛ de
yɛdii	yɛ di i
yɛdi	yɛ di
yɛdum	yɛ dum
yɛduruiɛ	yɛ duru iɛ
yɛduruu	yɛ duru u
yee	ye e
yɛɛ	yɛ ɛ
yɛfa	yɛ fa
yɛfi	yɛ fi
yɛfrɛ	yɛ frɛ
Yɛgu	Yɛ gu
yɛgyaa	yɛ gya a
yɛgye	yɛ gye
yɛgyina	yɛ gyina
Yɛhia	Yɛ hia
yɛhunuiɛ	yɛ hu nu iɛ
yɛhunuu	yɛ hu nu u
yɛhunu	yɛ hu nu
yɛhwɛ	yɛ hwɛ
yeifoɔ	yei foɔ
Yei	Yei
yɛka	yɛ ka
yɛkɔbɔeɛ	yɛ kɔ bɔ eɛ
Yɛkɔɔ	Yɛ kɔ ɔ
Yɛkɔpuee	Yɛ kɔ pue e
yɛkɔtɔ	yɛ kɔ tɔ
yɛko	yɛ ko
Yɛkɔ	Yɛ kɔ
yɛma	yɛ ma
yɛmfa	yɛ m fa
yɛmma	yɛ m <m>a
yɛmmɛfaeɛ	yɛ m <m>ɛ fae ɛ
yɛmmɛsesa	yɛ m <m>ɛ sesa
yɛmmɔɔ	yɛ m <m>ɔ ɔ
yɛmmɔ	yɛ m <m>ɔ
yɛmmra	yɛ m <m>ra
Yɛmpɛ	Yɛ m pɛ
yɛmpɔn	yɛ m pɔn
yɛnam	yɛ nam
yɛnante	yɛ nante
Yɛne	Yɛ ne
yɛnhunuu	yɛn hu nu u
yɛnhwɛ	yɛn hwɛ
yɛnhyehyɛ	yɛn hye hyɛ
Yɛnim	Yɛ nim
yɛnkaa	yɛ n ka a
yɛnka	yɛ n ka
yɛnkɔeɛ	yɛ n kɔ eɛ
Yɛnkɔ	Yɛ n kɔ
Yɛnnim	Yɛ n<n>im
Yɛnni	Yɛ n <n>i
yɛntena	yɛ n tena
yɛntɔ	yɛ n tɔ
yɛntumi	yɛ n tumi
yɛnyaa	yɛ nya a
Yɛnya	Yɛ nya
Yɛn	Yɛn
yɛn-yɛntumi	yɛn - yɛ n tumi 
yɛnyɛ	yɛ n yɛ
Yɛnyina	Yɛ nyina
yɛpagya	yɛ pagya
yɛpɛ	yɛ pɛ
yɛpira	yɛ pira
yɛpue	yɛ pue
yɛreba	yɛ re ba
yɛrebɛtena	yɛ re bɛ tena
Yɛrebɔ	Yɛ re bɔ
yɛrebrɛ	yɛ re brɛ
yɛredan	yɛ re dan
yɛredidi	yɛ re di di
yɛredi	yɛ re di
yɛrefa	yɛ re fa
yɛregu	yɛ re gu
yɛrehwɛ	yɛ re hwɛ
Yɛreka	Yɛ re ka
yɛrekɔko	yɛ re kɔ ko
Yɛreko	Yɛ re ko
Yɛrekɔ	Yɛ re kɔ
yɛrenhia	yɛ re n hia
yɛrenya	yɛ re n ya
yɛrepra	yɛ re pra
Yɛresesa	Yɛ re sesa
yɛresom	yɛ re som
yɛresrɛ	yɛ re srɛ
yɛresu	yɛ re su
yɛrete	yɛ re te
Yɛretoa	Yɛ re to a
yɛretom	yɛ re tom
yɛretɔn	yɛ re tɔn
yɛreto	yɛ re to
yɛretu	yɛ re tu
yɛretwa	yɛ re twa
yɛretwɛn	yɛ re twɛn
yɛretwetwe	yɛ re twe twe
yere	ye re
yɛre	yɛ re
yɛreyɛ	yɛ re yɛ
yɛsane	yɛ sane
yɛsan	yɛ san
yɛsesa	yɛ sesa
Yɛsrɛ	Yɛ srɛ
yɛsusu	yɛ susu
yɛteeɛ	yɛ te eɛ
yɛtee	yɛ te e
Yɛtena	Yɛ tena
yɛ-tete	yɛ - te te
yɛtete	yɛ te te
yɛte	yɛ te
yɛtoo	yɛ to o
yɛtoɔ	yɛ toɔ
Yɛtotoo	Yɛ to too
yɛto	yɛ to
yɛtɔ	yɛ tɔ
yɛtua	yɛ tua
yɛtumi	yɛ tumi
yɛtutuu	yɛ tu tu u
Yɛtu	Yɛ tu
yɛtwa	yɛ twa
yɛweene	yɛ weene
Yɛwieɛ	Yɛ wie ɛ
Yɛwie	Yɛ wie
