token	transliteration	segmentation
காணக்கூடியதாகவிருந்தது	kaanakkuudiyadhaahavirundhadhu	kaana kkuudiya dhaaha virundh adhu
காணப்படும்	kaanappadum	kaana ppadum
காணாத	kaanaadha	kaan aadha
காணாமல்	kaanaamal	kaan aamal
காண்க	kaanka	kaan ka
காதல்	kaadhal	kaadhal
காத்திருக்கும்	kaaththirukkum	kaathth irukkum
காப்பாற்றப்பட்டனர்	kaappaatrappattanar	kaappaatra ppatta nar
காயமடைந்து	kaayamadaindhu	kaayam adaindhu
காயமுற்றனர்	kaayamutranar	kaaya mutra nar
காய்ச்சலால்	kaaychchalaal	kaay chchal aal
காய்ச்சல்	kaaychchal	kaay chchal
காரணமாக	kaaranamaaha	kaaranam aaha
காரணம்	kaaranam	kaaranam
கால	kaala	kaala
காலநிலை	kaalanilai	kaala nilai
காலம்	kaalam	kaala m
காலுடன்	kaaludan	kaal udan
காலே	kaalee	kaal ee
காலை	kaalai	kaal ai
கால்	kaal	kaal
கால்பந்து	kaalpandhu	kaal pandhu
கால்வாய்கள்	kaalvaaykal	kaal vaay kal
காற்றாலைகள்	kaatraalaihal	kaatr aalai hal
காற்றினால்	kaatrinaal	kaatr inaal
காற்றின்	kaatrin	kaatr in
காற்று	kaatru	kaatr u
காற்றுடன்	kaatrudan	kaatr udan
காஷ்மீரில்	kaashmiiril	kaashmiir il
காஷ்மீரின்	kaashmiirin	kaashmiir in
காஷ்மீர்	kaashmiir	kaashmiir
கிடப்பில்	kidappil	kidapp il
கிடைக்கும்	kidaikkum	kidai kkum
கிடைத்த	kidaiththa	kidai ththa
கிட்டத்தட்ட	kittaththatta	kitta ththatta
கிராமங்களிலும்	kiraamangalilum	kiraama<n> gal il um
கிராமங்கள்	kiraamangal	kiraama<n> gal
கிராமம்	kiraamam	kiraamam
கிருமிகள்	kirumihal	kirumi hal
கிழக்கு	kizakku	kizakku
கிழக்குக்	kizakkuk	kizakku k
கிழக்கே	kizakkee	kizakk ee
கிளிநொச்சியில்	kilinochchiyil	kili nochchi yil
கிளை	kilai	kilai
கிளையின்	kilaiyin	kilai yin
கீழே	kiizee	kiizee
கீழ்	kiizh	kiizh
குடிசைகள்	kudisaihal	kudi sai hal
குடியிருக்கும்	kudiyirukkum	kudi yir ukkum
குடியிருப்பு	kudiyiruppu	kudi yir uppu
குடும்ப	kudumba	kudumba
குடும்பங்களுக்கு	kudumbangalukku	kudumba<n> gal ukku
குடும்பங்களுக்கும்	kudumbangalukkum	kudumba<n> gal ukk um
குடும்பங்களைச்	kudumbangalaich	kudumba<n> gal ai ch
குடும்பங்கள்	kudumbangal	kudumba<n> gal
குடும்பத்தினர்	kudumbaththinar	kudumba ththin ar
குண்டு	kuntu	kuntu
குமிழி	kumizi	kumizi
குழந்தைகளுக்கு	kuzandhaihalukku	kuzandhai hal ukku
குழந்தைகள்	kuzandhaihal	kuzandhai hal
குழுமத்தின்	kuzumaththin	kuzu mathth in
குழுவில்	kuzuvil	kuzu vil
குழுவினர்	kuzuvinar	kuzu vi nar
குழுவின்	kuzuvin	kuzu vin
குழுவும்	kuzuvum	kuzu vum
குழுவை	kuzuvai	kuzu vai
குழுவையும்	kuzuvaiyum	kuzu vai yum
குளங்களில்	kulangalil	kula<n> gal il
குளம்	kulam	kula m
குளிர்ந்த	kulirndha	kulir ndha
குறிக்கின்றது	kurikkinradhu	kuri kkin radhu
குறித்த	kuriththa	kuri ththa
குறித்து	kuriththu	kuri ththu
குறிப்பாக	kurippaaha	kuri ppaaha
குறிப்பிடத்தக்கது	kurippidaththakkadhu	kuri ppida ththakk adhu
குறிப்பிட்ட	kurippitta	kuri ppitta
குறிப்பிட்டார்	kurippittaar	kuri ppitt aar
குறைந்த	kuraindha	kurain dha
குறைந்தது	kuraindhadhu	kurain dhadhu
குறைந்து	kuraindhu	kurain dhu
குறைவாக	kuraivaaha	kurai vaaha
குற்றச்சாட்டுக்களை	kutrachchaattukkalai	kutra chchaattu kkal ai
குற்றம்	kutram	kutram
குஜராத்தில்	kujaraaththil	kujaraathth il
கூட	kuuda	kuuda
கூடவே	kuudavee	kuuda vee
கூடாது	kuudaadhu	kuudaa dhu
கூடிய	kuudiya	kuudiya
கூடுதலாக	kuududhalaaha	kuudu dhal aaha
கூடுதல்	kuududhal	kuudu dhal
கூடும்	kuudum	kuudu m
கூட்டத்தில்	kuuttaththil	kuutta ththil
கூட்டம்	kuuttam	kuutta m
கூட்டுறவு	kuutturavu	kuutt uravu
கூரைகளும்	kuuraihalum	kuurai hal um
கூரைகள்	kuuraihal	kuurai hal
கூறப்படுகிறது	kuurappaduhiradhu	kuura ppadu hir adhu
கூறப்பட்டுள்ளது	kuurappattulladhu	kuura ppatt ull adhu
கூறிச்	kuurich	kuuri ch
கூறியதாவது	kuuriyadhaavadhu	kuuri yadhaav adhu
கூறியது	kuuriyadhu	kuuri ya dhu
கூறியதை	kuuriyadhai	kuuri ya dhai
கூறியிருந்தது	kuuriyirundhadhu	kuuri yirundh adhu
கூறியுள்ளார்	kuuriyullaar	kuuri yull aar
கூறுகையில்	kuuruhaiyil	kuuru hai yil
கேட்கும்	keetkum	keet kum
கேட்ட	keetta	keett a
கேட்டுக்	keettuk	keettu k
கேட்டுக்கொண்டார்	keettukkontaar	keettu kkont aar
கேரளா	keeralaa	keera laa
கேரளாவில்	keeralaavil	keera laavil
கை	kai	kai
கைது	kaidhu	kai dhu
கையில்	kaiyil	kai yil
கொடுத்து	koduththu	kodu ththu
கொடுத்துப்	koduththup	kodu ththu p
கொடுமை	kodumai	kodumai
கொட்டும்	kottum	kottum
கொண்ட	konta	konta
கொண்டதாக	kontadhaaha	konta dhaaha
கொண்டனர்	kontanar	konta n ar
கொண்டிருக்கும்	kontirukkum	kont irukkum
கொண்டிருந்த	kontirundha	kont irundha
கொண்டிருந்தது	kontirundhadhu	kont irundh adhu
கொண்டு	kontu	kont u
கொண்டும்	kontum	kontu m
கொண்டுள்ளது	kontulladhu	kontu ll adhu
கொண்டுள்ளனர்	kontullanar	kontu lla nar
கொண்டே	kontee	kont ee
கொலை	kolai	kolai
கொழுந்து	kozundhu	kozu ndhu
கொழும்பிலும்	kozumbilum	kozu mbi lum
கொள்கிறது	kolkiradhu	kol kir adhu
கொள்கிறேன்	kolkireen	kol kir een
கொள்கிறோம்	kolkiroom	kol kir oom
கொள்ள	kolla	koll a
கொள்ளலாம்	kollalaam	koll al aam
கொள்ளுங்கள்	kollungal	kollu<n> gal
கொள்ளும்	kollum	kollum
கோடி	koodi	koodi
கோடிகள்	koodihal	koodi hal
கோடை	koodai	koodai
கோட்டுக்கு	koottukku	koottu kku
கோரிக்கை	koorikkai	koori kkai
கோரிக்கைகளை	koorikkaihalai	koori kkai hal ai
கோலில்	koolil	kool il
கோவை	koovai	koovai
சகல	chahala	chah ala
சகோதரர்	chahoodharar	chah oodharar
சகோதர்களே	chahoodharkalee	chah oodhar kal ee
சங்கம்	changam	changam
சங்கு	changu	changu
சடலங்கள்	chadalangal	chadala<n> gal
சடலமாக	chadalamaaha	chadala maaha
சட்டஅமைச்சர்	chattaamaichchar	chatta amai chchar
சட்டம்	chattam	chatta m
சட்டவிரோத	chattaviroodha	chatta viroodha
சந்த	chandha	chandha
சந்திக்கும்	chandhikkum	chandhi kkum
சந்தித்து	chandhiththu	chandhi ththu
சந்தித்துப்	chandhiththup	chandhi ththu p
சபை	chabai	chabai
சப்பாத்து	chappaaththu	chapp aaththu
சமய	chamaya	chama ya
சமயம்	chamayam	chama yam
சமுத்திரம்	chamuththiram	chamu ththir am
சமூகத்தினர்	chamuuhaththinar	chamuu ha ththi nar
சமூகத்தினை	chamuuhaththinai	chamuu ha ththi nai
சம்பவ	chambava	cham bava
சம்பவம்	chambavam	cham bava m
சரி	chari	chari
சரிந்தன	charindhana	chari ndhana
சரிந்து	charindhu	chari ndhu
சரியாக	chariyaaha	chari yaaha
சரியான	chariyaana	chari yaana
சரிவில்	charivil	chari vil
சரிவு	charivu	chari vu
சர்வதேச	charvadheesa	char vadheesa
சளி	chali	chali
சற்று	chatru	chatru
சனிக்கிழமை	chanikkizamai	chani kkiza mai
சனிக்கிழமையன்று	chanikkizamaiyanru	chani kkiza mai yanru
சாக்கடை	chaakkadai	chaa kk adai
சாதனை	chaadhanai	chaa dhanai
சாதாரண	chaadhaarana	chaa dhaarana
சாரதிகள்	chaaradhihal	chaa radhi hal
சார்பில்	chaarpil	chaa rpil
சாலை	chaalai	chaalai
சாலைகளிலும்	chaalaihalilum	chaalai hal il um
சாலைகளில்	chaalaihalil	chaalai hal il
சாலைகள்	chaalaihal	chaalai hal
சாலையில்	chaalaiyil	chaalai yil
சாவு	chaavu	chaavu
சிகிச்சை	chihichchai	chihichchai
சிகிச்சைகள்	chihichchaihal	chihichchai hal
சிக்கி	chikki	chikki
சிக்கிக்கொண்டனர்	chikkikkontanar	chikki kkonta nar
சிதறுண்டு	chidharuntu	chidhar untu
சில	chila	chila
சிலர்	chilar	chila r
சிவப்பு	chivappu	chivappu
சிறிலங்காவின்	chirilangaavin	chiri langaa vin
சிறு	chiru	chiru
சீரமைக்க	chiiramaikka	chiira maikka
சீரற்ற	chiiratra	chiira tra
சீற்றத்தால்	chiitraththaal	chiitra ththaal
சீனாவில்	chiinaavil	chiinaa vil
சீனாவின்	chiinaavin	chiinaa vin
சீனாவும்	chiinaavum	chiinaa vum
சுகாதார	chuhaadhaara	chuhaa dhaara
சுகாதாரத்	chuhaadhaarath	chuhaa dhaara th
சுகாதாரப்	chuhaadhaarap	chuhaa dhaara p
சுதந்திரம்	chudhandhiram	chudha ndhiram
சுமத்த	chumaththa	chuma ththa
சுமத்துகின்றனர்	chumaththuhinranar	chuma ththu hinra nar
சுமத்ரா	chumathraa	chuma thraa
சுமார்	chumaar	chumaa r
சுரங்கத்தின்	churangaththin	churanga ththin
சுரங்கப்	churangap	churanga p
சுரங்கம்	churangam	churanga m
சுரத்துடன்	churaththudan	churathth udan
சுவாச	chuvaasa	chuvaasa
சுற்றியுள்ள	chutriyulla	chutri yulla
சுற்று	chutru	chutru
சுற்றுச்	chutruch	chutru ch
சுற்றுலா	chutrulaa	chutru laa
சுற்றுலாப்	chutrulaap	chutru laa p
சுனமியை	chunamiyai	chunami yai
சுனாமியால்	chunaamiyaal	chunaami yaal
சூரிய	chuuriya	chuuri ya
சூரியன்	chuuriyan	chuuri yan
சூரைக்காற்றுடன்	chuuraikkaatrudan	chuurai kkaatr udan
சூழல்	chuuzal	chuuz al
சூழ்ந்துள்ளது	chuuzhndhulladhu	chuuzh ndhull adhu
சூறாவளியில்	chuuraavaliyil	chuuraa vali yil
சூறை	chuurai	chuurai
செஞ்சிலுவை	chenjiluvai	chen <j>iluvai
செயலர்	cheyalar	chey al ar
செயலாளர்	cheyalaalar	chey al aalar
செயலாளர்கள்	cheyalaalarkal	chey al aal ar kal
செயல்பட்டு	cheyalpattu	chey al pattu
செய்கிறது	cheykiradhu	chey kir adhu
செய்த	cheytha	chey tha
செய்தது	cheythadhu	chey th adhu
செய்தார்	cheythaar	chey th aar
செய்தால்	cheythaal	chey th aal
செய்தி	cheythi	chey thi
செய்திகள்	cheythihal	chey thi hal
செய்தித்	cheythith	chey thi th
செய்தியாளர்	cheythiyaalar	chey thi yaalar
செய்தியைக்	cheythiyaik	chey thi yai k
செய்து	cheythu	chey thu
செய்துள்ள	cheythulla	chey thulla
செய்துள்ளது	cheythulladhu	chey thulla dhu
செய்ய	cheyya	cheyya
செய்யப்படும்	cheyyappadum	cheyya ppad um
செய்யப்பட்டது	cheyyappattadhu	cheyya ppatta dhu
செய்யப்பட்டு	cheyyappattu	cheyya ppattu
செய்யப்பட்டுள்ளதாகவும்	cheyyappattulladhaahavum	cheyya ppatt ulla dhaa ha vum
செய்யப்பட்டுள்ளன	cheyyappattullana	cheyya ppatt ullana
செய்வது	cheyvadhu	chey vadhu
செர்னோபிலுக்கு	chernoobilukku	cher noobil ukku
செலவு	chelavu	chelavu
செலுத்தி	cheluththi	chelu ththi
செல்ல	chella	chella
செல்லப்பட்ட	chellappatta	chella ppatta
செல்லுமாறு	chellumaaru	chellu maaru
செல்வதால்	chelvadhaal	chel vadh aal
செல்வது	chelvadhu	chel vadhu
செவிலியர்கள்	cheviliyarkal	cheviliyar kal
சென்ற	chenra	chenra
சென்று	chenru	chenru
சென்றுள்ளன	chenrullana	chenru llana
சென்னைக்கு	chennaikku	chennai kku
சென்னைக்கும்	chennaikkum	chennai kkum
சென்னையில்	chennaiyil	chennai yil
சென்னையை	chennaiyai	chennai yai
சேதங்களை	cheedhangalai	cheedha<n> gal ai
சேதங்கள்	cheedhangal	cheedha<n> gal
சேதத்துக்குள்ளானது	cheedhaththukkullaanadhu	cheedha ththu kkulla anadhu
சேதத்தை	cheedhaththai	cheedha ththai
சேதமடைந்த	cheedhamadaindha	cheedham adaindh a
சேதமடைந்தன	cheedhamadaindhana	cheedham adaindh ana
சேதமடைந்துள்ளன	cheedhamadaindhullana	cheedham adaindh ullana
சேதமாகின	cheedhamaahina	cheedha maahina
சேமிக்கும்	cheemikkum	cheemi kkum
சேர்த்து	cheerththu	cheer ththu
சேர்ந்த	cheerndha	cheer ndha
சேர்ந்தது	cheerndhadhu	cheer ndha dhu
சேர்ந்து	cheerndhu	cheer ndhu
சேவை	cheevai	cheevai
சேவைகளை	cheevaihalai	cheevai hal ai
சேவைகள்	cheevaihal	cheevai hal
சொந்தமான	chondhamaana	chondham aana
சொல்	chol	chol
சொல்லி	cholli	choll i
சோதி	choodhi	choodhi
சோர்வு	choorvu	choorvu
ஞாயிறன்று	nyaayiranru	nyaayir anru
ஞாயிற்றுக்கிழமை	nyaayitrukkizamai	nyaayitr ukkiz amai
டிசம்பரில்	tisambaril	tisambar il
டெங்கு	tengu	tengu
டெல்லிக்கு	tellikku	telli kku
டெல்லியில்	telliyil	telli yil
தகவல்	thahaval	thahaval
தகவல்களை	thahavalkalai	thahaval kal ai
தங்க	thanga	tha<n>ga
தங்களது	thangaladhu	tha<n>ga ladhu
தங்கள்	thangal	tha<n> gal
தஞ்சம்	thanjam	thanjam
தடவை	thadavai	thadavai
தடுக்க	thadukka	thad ukka
தடுப்பு	thaduppu	thad uppu
தடுப்புக்	thaduppuk	thad uppu k
தடை	thadai	thadai
தண்ணீரை	thanniirai	thannii rai
தண்ணீர்	thanniir	thannii r
தந்த	thandha	thandha
தப்பிக்க	thappikka	thappi kka
தமது	thamadhu	tham adhu
தமிழக	thamizaha	thamiz aha
தமிழகத்தில்	thamizahaththil	thamiz aha thth il
தமிழகத்தின்	thamizahaththin	thamiz aha thth in
தமிழகத்துக்கு	thamizahaththukku	thamiz aha thth ukku
தமிழகத்தை	thamizahaththai	thamiz aha thth ai
தமிழகம்	thamizaham	thamiz aham
தமிழர்	thamizar	thamiz ar
தமிழர்களை	thamizarkalai	thamiza r kal ai
தமிழர்கள்	thamizarkal	thamiz ar kal
தமிழ்	thamizh	thamizh
தமிழ்நாடு	thamizhnaadu	thamizh naadu
தமிழ்நாட்டில்	thamizhnaattil	thamizh naatt il
தமிழ்நாட்டுக்கு	thamizhnaattukku	thamizh naattu kku
தமிழ்நாட்டுக்குத்	thamizhnaattukkuth	thamizh naattu kku th
தமிழ்நாட்ல	thamizhnaatla	thamizh naat la
தயாரிக்கப்பட்டு	thayaarikkappattu	thayaar ikka ppattu
தயார்	thayaar	thayaar
தயார்நிலையில்	thayaarnilaiyil	thayaar nilai yil
தர	thara	thara
தரப்படும்	tharappadum	thara ppa dum
தரப்பு	tharappu	thara ppu
தருகிறார்	tharuhiraar	tharu hira ar
தரை	tharai	thar ai
தலா	thalaa	thalaa
தலைநகர்	thalainahar	thalai nahar
தலைப்பில்	thalaippil	thalai ppil
தலைமை	thalaimai	thalai mai
தலைவர்	thalaivar	thalai var
தலைவர்கள்	thalaivarkal	thalai var kal
தவறிய	thavariya	thava riya
தவிக்கும்	thavikkum	thavi kkum
தவித்து	thaviththu	thavi ththu
தவிர	thavira	thavi ra
தவிர்க்க	thavirkka	thavi rkka
தவிர்த்தல்	thavirththal	thavi rththal
தவிர்த்துக்	thavirththuk	thavi rththu k
தளத்தில்	thalaththil	thala ththil
தள்ளி	thalli	thalli
தள்ளுபடி	thallubadi	thallu badi
தற்காலிக	tharkaaliha	thar kaal iha
தற்காலிகமாக	tharkaalihamaaha	thar kaal iha maaha
தற்கொலை	tharkolai	thar kolai
தற்கொலைக்கு	tharkolaikku	thar kolai kku
தற்போது	tharpoodhu	thar poodhu
தனது	thanadhu	than adhu
தனியார்	thaniyaar	thani yaar
தன்மை	thanmai	than mai
தாக்கத்திலிருந்து	thaakkaththilirundhu	thaakka ththil irundhu
தாக்கத்திற்கு	thaakkaththirku	thaakka thth irku
தாக்கத்திற்கும்	thaakkaththirkum	thaakka ththir kum
தாக்கம்	thaakkam	thaakka m
தாக்கல்	thaakkal	thaakka l
தாக்கிய	thaakkiya	thaakki ya
தாக்கியதில்	thaakkiyadhil	thaakki yadhil
தாக்கியது	thaakkiyadhu	thaakki yadhu
தாக்குதல்	thaakkudhal	thaakku dhal
தாங்க	thaanga	thaanga
தாண்டி	thaanti	thaanti
தாமிரபரணி	thaamirabarani	thaamira barani
தாய்லாந்து	thaaylaandhu	thaay laandhu
தாழ்வான	thaazhvaana	thaazh vaana
தாழ்வு	thaazhvu	thaazh vu
திகதி	thihadhi	thi hadhi
திங்கள்கிழமை	thingalkizamai	thi ngal kizamai
திசை	thisai	thi sai
திடீரென	thidiirena	thi diir ena
திடீரென்று	thidiirenru	thi diir enru
திடீர்	thidiir	thi diir
திட்டங்களில்	thittangalil	thitta<n> gal il
திட்டங்களையும்	thittangalaiyum	thitta<n> gal ai yum
திட்டத்தின்	thittaththin	thitta ththin
திட்டத்தை	thittaththai	thitta ththai
திணைக்களத்தின்	thinaikkalaththin	thinai kkala ththin
திணைக்களம்	thinaikkalam	thinai kkalam
திரு	thiru	thiru
திருப்பி	thiruppi	thiru ppi
திருவள்ளூர்	thiruvalluur	thiru valluur
தில்லியில்	thilliyil	thilli yil
திறந்து	thirandhu	thi randhu
தினங்களில்	thinangalil	thi na<n> gal il
தினங்களுக்கு	thinangalukku	thi na<n> gal ukku
தினத்தை	thinaththai	thi na ththai
தினமும்	thinamum	thi nam um
தீயை	thiiyai	thii yai
தீர்ப்பு	thiirppu	thii rppu
தீவிர	thiivira	thii vira
தீவிரப்	thiivirap	thii vira p
தீவிரம்	thiiviram	thii vir am
தீவில்	thiivil	thii vil
தீவின்	thiivin	thii vin
தீவுகளில்	thiivuhalil	thii vuhal il
தீவுகள்	thiivuhal	thii vuhal
துணை	thunai	thunai
துணைபுரியும்	thunaiburiyum	thunai buriyum
துண்டிக்கப்பட்டது	thuntikkappattadhu	thun tikka ppatt adhu
துண்டிக்கப்பட்டுள்ளது	thuntikkappattulladhu	thun tikka ppatt ulladhu
தும்மல்	thummal	thummal
துயர்துடைப்பு	thuyarthudaippu	thuyar thudaippu
துரித	thuridha	thuridha
துவங்கியது	thuvangiyadhu	thuva<n> giya dhu
துவங்கும்	thuvangum	thuva<n> gum
துறை	thurai	thurai
துறைகளில்	thuraihalil	thurai hal il
துறைமுகத்தில்	thuraimuhaththil	thurai muha thth il
துறைமுகத்துக்கு	thuraimuhaththukku	thurai muha thth ukku
துறைமுகம்	thuraimuham	thurai muham
தூக்கி	thuukki	thuukki
தூரத்தில்	thuuraththil	thuura ththil
தெரிகிறது	therihiradhu	theri hir adhu
தெரியுமா	theriyumaa	theri yum aa
தெரியும்	theriyum	theriy um
தெரிவிக்க	therivikka	theri vikka
தெரிவிக்கப்பட்டது	therivikkappattadhu	theri vikka ppatta dhu
தெரிவிக்கப்பட்டுள்ளது	therivikkappattulladhu	theri vikka ppatt ulladhu
தெரிவிக்கிறது	therivikkiradhu	theri vikki radhu
தெரிவிக்கின்றன	therivikkinrana	theri vikki nrana
தெரிவிக்கின்றனர்	therivikkinranar	theri vikki nra nar
தெரிவித்தது	theriviththadhu	theri vithth adhu
தெரிவித்தார்	theriviththaar	theri vithth aar
தெரிவித்திருந்தார்	theriviththirundhaar	theri vithth irundh aar
தெரிவித்துள்ளது	theriviththulladhu	theri vithth ulladhu
தெரிவித்துள்ளன	theriviththullana	theri vithth ullana
தெரிவித்துள்ளனர்	theriviththullanar	theri vithth ullana r
தெரிவு	therivu	therivu
தெருக்களில்	therukkalil	theru kkal il
தெளிவாக	thelivaaha	theli vaaha
தெளிவான	thelivaana	theli vaana
தெற்கு	therku	ther ku
தென்கிழக்கே	thengizakkee	then gizakk ee
தென்பெண்ணை	thenbennai	then bennai
தென்மேற்கு	thenmeerku	then meerku
தென்மேற்குப்	thenmeerkup	then meerku p
தென்னை	thennai	thenn ai
தேங்கி	theengi	theen gi
தேங்கிய	theengiya	theen gi ya
தேசிய	theesiya	thee si ya
தேடுதல்	theedudhal	theedu dhal
தேதிக்குள்	theedhikkul	theedhi kkul
தேயிலை	theeyilai	thee yilai
தேர்தலில்	theerthalil	thee rthal il
தேர்தல்	theerthal	thee rthal
தேவை	theevai	thee vai
தேவைகளை	theevaihalai	thee vai hal ai
தேவைப்படும்	theevaippadum	thee vai ppadum
தேவையான	theevaiyaana	thee vai yaana
தொகை	thohai	thohai
தொடர	thodara	thodar a
தொடரும்	thodarum	thodar um
தொடர்	thodar	thodar
தொடர்ந்து	thodarndhu	thodar ndhu
தொடர்ந்தும்	thodarndhum	thodar ndhu m
தொடர்பாக	thodarpaaha	thodar pa aha
தொடர்பாளர்	thodarpaalar	thodar paal ar
தொடர்பான	thodarpaana	thodar paana
தொடர்பில்	thodarpil	thodar pil
தொண்டை	thontai	thon tai
தொலைபேசி	tholaibeesi	tholai beesi
தொலைவில்	tholaivil	tholai vil
தொழில்	thozil	thozil
தொழிற்சாலையில்	thozirchaalaiyil	thozir chaalai yil
தொற்று	thotru	thotru
தொற்றுநோய்ப்	thotrunooyp	thotru nooy p
தொற்றும்	thotrum	thotru m
தோட்டங்களில்	thoottangalil	thootta<n> gal il
தோல்	thool	thool
தோன்றும்	thoonrum	thoon rum
நகர	nahara	naha ra
நகரங்களிலும்	naharangalilum	naha ra<n> gal il um
நகரங்களில்	naharangalil	naha ra<n> gal il
நகரத்தில்	naharaththil	naha ra ththil
நகரம்	naharam	naha ram
நகரும்	naharum	naha rum
நகரை	naharai	naha rai
நகர்ந்தால்	naharndhaal	naha rndhaal
நகர்ந்து	naharndhu	naha rndhu
நடக்கும்	nadakkum	nada kkum
நடத்துனர்	nadaththunar	nada ththu nar
நடந்த	nadandha	nada ndha
நடப்புப்	nadappup	nada ppu p
நடமாட	nadamaada	nada maada
நடவடிக்கை	nadavadikkai	nada vadi kkai
நடவடிக்கைகளை	nadavadikkaihalai	nada vadi kkai hal ai
நடவடிக்கைகள்	nadavadikkaihal	nada vadi kkai hal
நடவடிக்கைக்	nadavadikkaik	nada vadi kkai k
நடவடிக்கையாக	nadavadikkaiyaaha	nada vadi kkai yaaha
நடவடிக்கையில்	nadavadikkaiyil	nada vadi kkai yil
நடுக்கம்	nadukkam	nadu kkam
நடைபெறும்	nadaiberum	nadai berum
நடைபெற்றது	nadaibetradhu	nadai betra dhu
நடைபெற்று	nadaibetru	nadai betru
நடைமுறைக்கு	nadaimuraikku	nadai murai kku
நண்பகல்	nanpahal	nan pa hal
நண்பர்கள்	nanparkal	nan par kal
நதி	nadhi	nadhi
நதிகளின்	nadhihalin	nadhi hal in
நதிகளை	nadhihalai	nadhi hal ai
நதிநீர்	nadhiniir	nadhi niir
நமக்கு	namakku	nam akku
நம்	nam	nam
நம்ம	namma	namm a
நம்மை	nammai	namm ai
நலமே	nalamee	nalam ee
நன்கு	nangu	nan gu
நன்றாக	nanraaha	nan raaha
நஷ்டம்	nashtam	nash tam
நாடாளுமன்ற	naadaalumanra	naadaa lu manra
நாடான	naadaana	naadaa na
நாடு	naadu	naadu
நாடுகளின்	naaduhalin	naadu hal in
நாடுகளை	naaduhalai	naadu hal ai
நாடுகள்	naaduhal	naadu hal
நாட்களாக	naatkalaaha	naat kal aaha
நாட்களில்	naatkalil	naat kal il
நாட்களுக்கு	naatkalukku	naat kal ukku
நாட்கள்	naatkal	naat kal
நாட்டின்	naattin	naatt in
நாட்டு	naattu	naatt u
நாம்	naam	naam
நாளாக	naalaaha	naal aaha
நாள்ப்பட்ட	naalppatta	naal ppatta
நானும்	naanum	naan um
நான்கு	naangu	naangu
நிகழும்	nihazum	nihaz um
நிகழ்ச்சி	nihazhchchi	nihazh chchi
நிகழ்த்தினார்	nihazhththinaar	nihazh ththin aar
நிகழ்ந்த	nihazhndha	nihazh ndha
நிகழ்வில்	nihazhvil	nihazh vil
நிகழ்வுகளை	nihazhvuhalai	nihazh vu hal ai
நிகழ்வுகள்	nihazhvuhal	nihazh vu hal
நிதி	nidhi	nidhi
நிதியாக	nidhiyaaha	nidhi yaaha
நிதியுதவி	nidhiyudhavi	nidhi yudhavi
நிபுணத்துவக்	nibunaththuvak	nibuna ththuva k
நிபுணர்	nibunar	nibunar
நிபுணர்கள்	nibunarkal	nibunar kal
நிம்மதி	nimmadhi	nimm adhi
நிரந்தர	nirandhara	nira ndhara
நிரம்பி	nirambi	nira mbi
நிர்வாக	nirvaaha	nir vaaha
நிர்வாகம்	nirvaaham	nir vaaha m
நில	nila	nila
நிலஅதிர்வுகள்	nilaadhirvuhal	nila adhir vu hal
நிலங்கள்	nilangal	nila<n> gal
நிலச்சரிவில்	nilachcharivil	nila chchari vil
நிலச்சரிவினால்	nilachcharivinaal	nila chchari vi naal
நிலச்சரிவு	nilachcharivu	nila chchari vu
நிலத்தில்	nilaththil	nila thth il
நிலநடுக்க	nilanadukka	nila nadu kka
நிலநடுக்கத்தால்	nilanadukkaththaal	nila nadu kka thth aal
நிலநடுக்கத்தின்	nilanadukkaththin	nila nadu kka thth in
நிலநடுக்கத்தை	nilanadukkaththai	nila nadu kka thth ai
நிலம்	nilam	nila m
நிலவரங்கள்	nilavarangal	nila varan gal
நிலவும்	nilavum	nila vum
நிலவுவதால்	nilavuvadhaal	nilavu vadh aal
நிலை	nilai	nilai
நிலைகொண்டுள்ளது	nilaihontulladhu	nilai hont ulladhu
நிலைய	nilaiya	nilai ya
நிலையங்களிலும்	nilaiyangalilum	nilai ya<n> gal il um
நிலையங்களில்	nilaiyangalil	nilai ya<n> gal il
நிலையங்களுக்கும்	nilaiyangalukkum	nilai ya<n> gal ukkum
நிலையங்கள்	nilaiyangal	nilai ya<n> gal
நிலையத்தில்	nilaiyaththil	nilai ya thth il
நிலையத்தின்	nilaiyaththin	nilai ya thth in
நிலையத்தை	nilaiyaththai	nilai ya thth ai
நிலையம்	nilaiyam	nilai ya m
நிலையில்	nilaiyil	nilai yil
நிவாரண	nivaarana	ni vaarana
நிவாரணக்	nivaaranak	ni vaarana k
நிவாரணங்களை	nivaaranangalai	ni vaarana<n> gal ai
நிவாரணங்கள்	nivaaranangal	ni vaarana<n> gal
நிவாரணத்தை	nivaaranaththai	ni vaarana thth ai
நிவாரணப்	nivaaranap	ni vaarana p
நிவாரணமாக	nivaaranamaaha	ni vaarana maaha
நிவாரணம்	nivaaranam	nivaarana m
நிறம்	niram	nira m
நிறுத்தப்பட்ட	niruththappatta	niru ththa ppatta
நிறுத்தி	niruththi	niru ththi
நிறுவப்பட்டது	niruvappattadhu	niru va ppatta dhu
நிறுவனத்தின்	niruvanaththin	niru vana thth in
நிறுவனத்துக்கு	niruvanaththukku	niru vana thth ukku
நிறுவனம்	niruvanam	niru vanam
நிறைய	niraiya	nira iya
நினோவின்	ninoovin	ninoo vin
நினோவும்	ninoovum	ninoo vum
நீங்க	niinga	niin ga
நீங்கள்	niingal	niin gal
நீட்	niit	niit
நீதி	niidhi	niidhi
