token	transliteration-1	transliteration-2	segmentation_trans1	segmentation_trans2	root_trans1	root_trans2
कृतियों	kritiyong	kritiyong	kritiy ong	kritiy ong	kritiy	kritiy
कृपया	kripyaa	kripyaa	kripyaa	kripyaa	kripyaa	kripyaa
कृषि	krishi	krishi	krishi	krishi	krishi	krishi
के	ke	ke	k e	k e	k	k
केदारघाटी	kedaaraghaatii	kedaaraghaatii	kedaara ghaat ii	kedaara ghaat ii	ghaat	ghaat
केंद्र	kendr	kendr	kendr	kendr	kendr	kendr
केंद्रित	kendrit	kendrit	kendr it	kendr it	kendr	kendr
केंद्रों	kendrong	kendrong	kendr ong	kendr ong	kendr	kendr
केन्द्रेश	kendresh	kendresh	kendr esh	kendr esh	kendr	kendr
केन्द्रों	kendrong	kendrong	kendr ong	kendr ong	kendr	kendr
केवल	keval	keval	keval	keval	keval	keval
कैंपों	kaimpong	kaimpong	kaimp ong	kaimp ong	kaimp	kaimp
कैसे	kaise	kaise	kais e	kais e	kais	kais
कॉलेज	kolej	kolej	kolej	kolej	kolej	kolej
कोई	koii	koii	koii	koii	koii	koii
कोरी	korii	korii	kor ii	kor ii	kor	kor
कोशिश	koshish	koshish	koshish	koshish	koshish	koshish
कोष	kosh	kosh	kosh	kosh	kosh	kosh
कोहरे	kohre	kohre	kohr e	kohr e	kohr	kohr
कौन	kaun	kaun	kaun	kaun	kaun	kaun
कौनसा	kaunasaa	kaunasaa	kauna s aa	kauna s aa	kauna	kauna
क्या	kyaa	kyaa	kyaa	kyaa	kyaa	kyaa
क्यों	kyong	kyong	kyong	kyong	kyong	kyong
क्योंकि	kyonki	kyonki	kyon ki	kyon ki	ki	ki
क्रमश	kramash	kramash	kramash	kramash	kramash	kramash
क्षति	kshati	kshati	kshati	kshati	kshati	kshati
क्षतिग्रस्त	kshatigrast	kshatigrast	kshati grast	kshati grast	grast	grast
क्षय	kshay	kshay	kshay	kshay	kshay	kshay
क्षेत्र	kshetr	kshetr	kshetr	kshetr	kshetr	kshetr
क्षेत्रीय	kshetriiy	kshetriiy	kshetr iiy	kshetr iiy	kshetr	kshetr
क्षेत्रों	kshetrong	kshetrong	kshetr ong	kshetr ong	kshetr	kshetr
खड़ी	kharii	kharii	khar ii	khar ii	khar	khar
खण्ड	khand	khand	khand	khand	khand	khand
खतरनाक	khataranaak	khataranaak	khatara naak	khatara naak	khatara	khatara
खतरा	khatraa	khatraa	khatr aa	khatr aa	khatr	khatr
ख़तरा	khtaraa	khtaraa	khtar aa	khtar aa	khtar	khtar
खत्म	khatm	khatm	khatm	khatm	khatm	khatm
खदान	khadaan	khadaan	khadaan	khadaan	khadaan	khadaan
खनल	khanal	khanal	khanal	khanal	khanal	khanal
खनिक	khanik	khanik	khanik	khanik	khanik	khanik
खबर	khabar	khabar	khabar	khabar	khabar	khabar
खबरें	khabreng	khabreng	khabr eng	khabr eng	khabr	khabr
ख़बरें	khbareng	khbareng	khbar eng	khbar eng	khbar	khbar
खबरों	khabrong	khabrong	khabr ong	khabr ong	khabr	khabr
खंभे	khambhe	khambhe	khambh e	khambh e	khambh	khambh
खराब	kharaab	kharaab	kharaab	kharaab	kharaab	kharaab
ख़राब	khraab	khraab	khraab	khraab	khraab	khraab
खरीक	khariik	khariik	khariik	khariik	khariik	khariik
खा	khaa	khaa	khaa	khaa	khaa	khaa
खाड़ी	khaarii	khaarii	khaar ii	khaar ii	khaar	khaar
खात्मे	khaatme	khaatme	khaatm e	khaatm e	khaatm	khaatm
खाद्य	khaady	khaady	khaady	khaady	khaady	khaady
खिंचाई	khinchhaaii	khinchaaii	khinchhaa ii	khinchaa ii	khinchhaa	khinchaa
खिडकियों	khidakiyong	khidakiyong	khidak iy ong	khidak iy ong	khidak	khidak
खिलाफ	khilaaph	khilaaph	khilaaph	khilaaph	khilaaph	khilaaph
खिलाफ़	khilaaf	khilaaf	khilaaf	khilaaf	khilaaf	khilaaf
खिलाफत	khilaaphat	khilaaphat	khilaaph at	khilaaph at	khilaaph	khilaaph
खुद	khud	khud	khud	khud	khud	khud
ख़ुफ़िया	khufiyaa	khufiyaa	khufiyaa	khufiyaa	khufiyaa	khufiyaa
खुराक	khuraak	khuraak	khuraak	khuraak	khuraak	khuraak
खुलकर	khulkar	khulkar	khul kar	khul kar	khul	khul
खुला	khulaa	khulaa	khul aa	khul aa	khul	khul
खुले	khule	khule	khul e	khul e	khul	khul
खून	khuun	khuun	khuun	khuun	khuun	khuun
खूबसूरती	khuubasuuratii	khuubasuuratii	khuuba suurat ii	khuuba suurat ii	suurat	suurat
खेत	khet	khet	khet	khet	khet	khet
खेल	khel	khel	khel	khel	khel	khel
खेलना	khelnaa	khelnaa	khel n aa	khel n aa	khel	khel
खेला	khelaa	khelaa	khel aa	khel aa	khel	khel
खो	kho	kho	kho	kho	kho	kho
खोज	khoj	khoj	khoj	khoj	khoj	khoj
खोजे	khoje	khoje	khoj e	khoj e	khoj	khoj
खोया	khoyaa	khoyaa	kho yaa	kho yaa	kho	kho
खोलने	kholne	kholne	khol n e	khol n e	khol	khol
खौफ	khauph	khauph	khauph	khauph	khauph	khauph
खौफनाक	khauphanaak	khauphanaak	khaupha naak	khaupha naak	khaupha	khaupha
खौल	khaul	khaul	khaul	khaul	khaul	khaul
गई	gii	gii	g ii	g ii	g	g
गईं	giing	giing	g ii ng	g ii ng	g	g
गए	ge	ge	g e	g e	g	g
गत	gat	gat	gat	gat	gat	gat
गंतव्य	gantavy	gantavy	gantavy	gantavy	gantavy	gantavy
गति	gati	gati	gati	gati	gati	gati
गतिविधियों	gatividhiyong	gatividhiyong	gati vidhiy ong	gati vidhiy ong	vidhiy	vidhiy
गंभीर	gambhiir	gambhiir	gambhiir	gambhiir	gambhiir	gambhiir
गम्‍भीर	gambhiir	gambhiir	gambhiir	gambhiir	gambhiir	gambhiir
गया	gayaa	gayaa	ga yaa	ga yaa	ga	ga
गयी	gayii	gayii	ga yii	ga yii	ga	ga
गये	gaye	gaye	ga ye	ga ye	ga	ga
गर्म	garm	garm	garm	garm	garm	garm
गर्मी	garmii	garmii	garm ii	garm ii	garm	garm
गलत	galat	galat	galat	galat	galat	galat
गंवा	ganvaa	ganvaa	ganv aa	ganv aa	ganv	ganv
गाइड	gaaid	gaaid	gaaid	gaaid	gaaid	gaaid
गाड़ियों	gaariyong	gaariyong	gaar iy ong	gaar iy ong	gaar	gaar
गाय	gaay	gaay	gaay	gaay	gaay	gaay
गाया	gaayaa	gaayaa	gaa yaa	gaa yaa	gaa	gaa
गाल	gaal	gaal	gaal	gaal	gaal	gaal
गाली	gaalii	gaalii	gaal ii	gaal ii	gaal	gaal
गाव	gaav	gaav	gaav	gaav	gaav	gaav
गांव	gaanv	gaanv	gaanv	gaanv	gaanv	gaanv
गावों	gaavong	gaavong	gaav ong	gaav ong	gaav	gaav
गांवों	gaanvong	gaanvong	gaanv ong	gaanv ong	gaanv	gaanv
गिनती	gintii	gintii	gin t ii	gin t ii	gin	gin
गिर	gir	gir	gir	gir	gir	gir
गिरने	girne	girne	gir n e	gir n e	gir	gir
गिरफ्तारी	giraphtaarii	giraphtaarii	girapht aar ii	girapht aar ii	girapht	girapht
गिरा	giraa	giraa	gir aa	gir aa	gir	gir
गिरी	girii	girii	gir ii	gir ii	gir	gir
गिरे	gire	gire	gir e	gir e	gir	gir
गिरोह	giroh	giroh	giroh	giroh	giroh	giroh
गीत	giit	giit	giit	giit	giit	giit
गीष्म	giishm	giishm	giishm	giishm	giishm	giishm
गुजरता	gujarataa	gujarataa	gujara t aa	gujara t aa	gujara	gujara
गुजरने	gujarane	gujarane	gujara n e	gujara n e	gujara	gujara
गुजरे	gujre	gujre	gujr e	gujr e	gujr	gujr
गुजारिश	gujaarish	gujaarish	gujaarish	gujaarish	gujaarish	gujaarish
गुणवान	gunvaan	gunvaan	gun vaan	gun vaan	gun	gun
गुना	gunaa	gunaa	gun aa	gun aa	gun	gun
गुफा	guphaa	guphaa	guphaa	guphaa	guphaa	guphaa
गुरुपूर्णिमा	gurupuurnimaa	gurupuurnimaa	guru puurnimaa	guru puurnimaa	puurnimaa	puurnimaa
गुरुवार	guruvaar	guruvaar	guru vaar	guru vaar	vaar	vaar
गुरेज़	gurez	gurez	gurez	gurez	gurez	gurez
गुल	gul	gul	gul	gul	gul	gul
गुस्सा	gussaa	gussaa	guss aa	guss aa	guss	guss
गूंज	guunj	guunj	guunj	guunj	guunj	guunj
गूढ़तम	guurhtam	guurhtam	guurhtam	guurhtam	guurhtam	guurhtam
गृह	grih	grih	grih	grih	grih	grih
गैर	gair	gair	gair	gair	gair	gair
गैलेरी	gailerii	gailerii	gailerii	gailerii	gailerii	gailerii
गोलबंद	golband	golband	gol band	gol band	gol	gol
गौर	gaur	gaur	gaur	gaur	gaur	gaur
ग्यारह	gyaarah	gyaarah	gyaarah	gyaarah	gyaarah	gyaarah
ग्रहों	grahong	grahong	grah ong	grah ong	grah	grah
ग्राम	graam	graam	graam	graam	graam	graam
ग्रामीण	graamiin	graamiin	graam iin	graam iin	graam	graam
ग्रामीणों	graamiinong	graamiinong	graam iin ong	graam iin ong	graam	graam
ग्राहकी	graahkii	graahkii	graah k ii	graah k ii	graah	graah
ग्राहकों	graahkong	graahkong	graah k ong	graah k ong	graah	graah
ग्रीष्म	griishm	griishm	griishm	griishm	griishm	griishm
घटक	ghatak	ghatak	ghatak	ghatak	ghatak	ghatak
घटना	ghatnaa	ghatnaa	ghatnaa	ghatnaa	ghatnaa	ghatnaa
घटनाएं	ghatanaaeng	ghatanaaeng	ghatanaa eng	ghatanaa eng	ghatanaa	ghatanaa
घटनाक्रम	ghatanaakram	ghatanaakram	ghatanaa kram	ghatanaa kram	kram	kram
घटनास्थल	ghatanaasthal	ghatanaasthal	ghatanaa sthal	ghatanaa sthal	sthal	sthal
घंटे	ghante	ghante	ghant e	ghant e	ghant	ghant
घंटों	ghantong	ghantong	ghant ong	ghant ong	ghant	ghant
घनी	ghanii	ghanii	ghan ii	ghan ii	ghan	ghan
घर	ghar	ghar	ghar	ghar	ghar	ghar
घरों	gharong	gharong	ghar ong	ghar ong	ghar	ghar
घाटियों	ghaatiyong	ghaatiyong	ghaat iy ong	ghaat iy ong	ghaat	ghaat
घाटी	ghaatii	ghaatii	ghaat ii	ghaat ii	ghaat	ghaat
घायल	ghaayal	ghaayal	ghaayal	ghaayal	ghaayal	ghaayal
घायलों	ghaaylong	ghaaylong	ghaayl ong	ghaayl ong	ghaayl	ghaayl
घुटने	ghutne	ghutne	ghut n e	ghut n e	ghut	ghut
घूस	ghuus	ghuus	ghuus	ghuus	ghuus	ghuus
घृणा	ghrinaa	ghrinaa	ghrinaa	ghrinaa	ghrinaa	ghrinaa
घेर	gher	gher	gher	gher	gher	gher
घोटाला	ghotaalaa	ghotaalaa	ghotaal aa	ghotaal aa	ghotaal	ghotaal
घोषणा	ghoshnaa	ghoshnaa	ghoshnaa	ghoshnaa	ghoshnaa	ghoshnaa
घोषित	ghoshit	ghoshit	ghosh it	ghosh it	ghosh	ghosh
चक्कर	chhakkar	chakkar	chhakkar	chakkar	chhakkar	chakkar
चक्रवात	chhakravaat	chakravaat	chhakra vaat	chakra vaat	vaat	vaat
चट्टानों	chhattaanong	chattaanong	chhattaan ong	chattaan ong	chhattaan	chattaan
चढने	chhadhne	chadhne	chhadh n e	chadh n e	chhadh	chadh
चढ़ा	chharhaa	charhaa	chharh aa	charh aa	chharh	charh
चढाने	chhadhaane	chadhaane	chhadh aa n e	chadh aa n e	chhadh	chadh
चंद्रमा	chhandramaa	chandramaa	chhandra maa	chandra maa	maa	maa
चपेट	chhapet	chapet	chhapet	chapet	chhapet	chapet
चर्चा	chharchhaa	charchaa	chharchh aa	charch aa	chharchh	charch
चल	chhal	chal	chhal	chal	chhal	chal
चलता	chhaltaa	chaltaa	chhal t aa	chal t aa	chhal	chal
चलती	chhaltii	chaltii	chhal t ii	chal t ii	chhal	chal
चलते	chhalte	chalte	chhal t e	chal t e	chhal	chal
चला	chhalaa	chalaa	chhal aa	chal aa	chhal	chal
चलाते	chhalaate	chalaate	chhal aa t e	chal aa t e	chhal	chal
चलाने	chhalaane	chalaane	chhal aa n e	chal aa n e	chhal	chal
चलाया	chhalaayaa	chalaayaa	chhal aa yaa	chal aa yaa	chhal	chal
चली	chhalii	chalii	chhal ii	chal ii	chhal	chal
चले	chhale	chale	chhal e	chal e	chhal	chal
चलेगा	chhalegaa	chalegaa	chhal e g aa	chal e g aa	chhal	chal
चार	chhaar	chaar	chhaar	chaar	chhaar	chaar
चालू	chhaaluu	chaaluu	chhaal uu	chaal uu	chhaal	chaal
चावल	chhaaval	chaaval	chhaaval	chaaval	chhaaval	chaaval
चाहता	chhaahtaa	chaahtaa	chhaah t aa	chaah t aa	chhaah	chaah
चाहती	chhaahtii	chaahtii	chhaah t ii	chaah t ii	chhaah	chaah
चाहते	chhaahte	chaahte	chhaah t e	chaah t e	chhaah	chaah
चाहिए	chhaahie	chaahie	chhaah ie	chaah ie	chhaah	chaah
चाहिये	chhaahiye	chaahiye	chhaah iye	chaah iye	chhaah	chaah
चाहे	chhaahe	chaahe	chhaah e	chaah e	chhaah	chaah
चिकित्सक	chhikitsak	chikitsak	chhikitsa k	chikitsa k	chhikitsa	chikitsa
चिकित्सा	chhikitsaa	chikitsaa	chhikitsaa	chikitsaa	chhikitsaa	chikitsaa
चिकित्साकर्मियों	chhikitsaakarmiyong	chikitsaakarmiyong	chhikitsaa karmiy ong	chikitsaa karmiy ong	karmiy	karmiy
चिट्ठा	chhitthaa	chitthaa	chhitth aa	chitth aa	chhitth	chitth
चिट्ठी	chhitthii	chitthii	chhitth ii	chitth ii	chhitth	chitth
चिंता	chhintaa	chintaa	chhintaa	chintaa	chhintaa	chintaa
चित्र	chhitr	chitr	chhitr	chitr	chhitr	chitr
चित्रण	chhitran	chitran	chhitran	chitran	chhitran	chitran
चीजें	chhiijeng	chiijeng	chhiij eng	chiij eng	chhiij	chiij
चीजों	chhiijong	chiijong	chhiij ong	chiij ong	chhiij	chiij
चीटियों	chhiitiyong	chiitiyong	chhiit iy ong	chiit iy ong	chhiit	chiit
चुका	chhukaa	chukaa	chhuk aa	chuk aa	chhuk	chuk
चुकाई	chhukaaii	chukaaii	chhuk aa ii	chuk aa ii	chhuk	chuk
चुकानी	chhukaanii	chukaanii	chhuk aa n ii	chuk aa n ii	chhuk	chuk
चुकी	chhukii	chukii	chhuk ii	chuk ii	chhuk	chuk
चुके	chhuke	chuke	chhuk e	chuk e	chhuk	chuk
चुनाव	chhunaav	chunaav	chhun aav	chun aav	chhun	chun
चुनावी	chhunaavii	chunaavii	chhun aav ii	chun aav ii	chhun	chun
चुनावों	chhunaavong	chunaavong	chhun aav ong	chun aav ong	chhun	chun
चुनौती	chhunautii	chunautii	chhun aut ii	chun aut ii	chhun	chun
चुप	chhup	chup	chhup	chup	chhup	chup
चूका	chhuukaa	chuukaa	chhuuk aa	chuuk aa	chhuuk	chuuk
चूहे	chhuuhe	chuuhe	chhuuh e	chuuh e	chhuuh	chuuh
चेत	chhet	chet	chhet	chet	chhet	chet
चेतना	chhetnaa	chetnaa	chhetnaa	chetnaa	chhetnaa	chetnaa
चेहरा	chhehraa	chehraa	chhehr aa	chehr aa	chhehr	chehr
चेहरे	chhehre	chehre	chhehr e	chehr e	chhehr	chehr
चैनलों	chhainalong	chainalong	chhainal ong	chainal ong	chhainal	chainal
चोटें	chhoteng	choteng	chhot eng	chot eng	chhot	chot
चोयल	chhoyal	choyal	chhoyal	choyal	chhoyal	choyal
चौपट	chhaupat	chaupat	chhaupat	chaupat	chhaupat	chaupat
चौराहे	chhauraahe	chauraahe	chhauraah e	chauraah e	chhauraah	chauraah
छत	chhat	chhat	chhat	chhat	chhat	chhat
छह	chhah	chhah	chhah	chhah	chhah	chhah
छापने	chhaapne	chhaapne	chhaap n e	chhaap n e	chhaap	chhaap
छाया	chhaayaa	chhaayaa	chhaayaa	chhaayaa	chhaayaa	chhaayaa
छावनी	chhaavnii	chhaavnii	chhaavn ii	chhaavn ii	chhaavn	chhaavn
छिड़काव	chhirkaav	chhirkaav	chhirk aav	chhirk aav	chhirk	chhirk
छूने	chhuune	chhuune	chhuu n e	chhuu n e	chhuu	chhuu
छेड़खानी	chherkhaanii	chherkhaanii	chher khaan ii	chher khaan ii	khaan	khaan
छोटी	chhotii	chhotii	chhot ii	chhot ii	chhot	chhot
छोड़कर	chhorkar	chhorkar	chh<o><r> kar	chh<o><r> kar	chh<o><r>	chh<o><r>
छोड़नी	chhornii	chhornii	chh<o><r> n ii	chh<o><r> n ii	chh<o><r>	chh<o><r>
छोड़ा	chhoraa	chhoraa	chh<o><r> aa	chh<o><r> aa	chh<o><r>	chh<o><r>
जख्मी	jakhmii	jakhmii	jakhm ii	jakhm ii	jakhm	jakhm
जंग	jang	jang	jang	jang	jang	jang
जगह	jagah	jagah	jagah	jagah	jagah	jagah
जगहो	jagho	jagho	jagh o	jagh o	jagh	jagh
जगहों	jaghong	jaghong	jagh ong	jagh ong	jagh	jagh
जगाने	jagaane	jagaane	jag aa n e	jag aa n e	jag	jag
जताई	jataaii	jataaii	jataa ii	jataa ii	jataa	jataa
जंतु	jantu	jantu	jantu	jantu	jantu	jantu
जद	jad	jad	jad	jad	jad	jad
जनता	jantaa	jantaa	jantaa	jantaa	jantaa	jantaa
जनहानिक	janahaanik	janahaanik	jana haan ik	jana haan ik	haan	haan
जनाब	janaab	janaab	janaab	janaab	janaab	janaab
जनित	janit	janit	jan it	jan it	jan	jan
जन्मकुण्डली	janmakundalii	janmakundalii	janma kundal ii	janma kundal ii	kundal	kundal
जन्मभूमी	janmabhuumii	janmabhuumii	janma bhuum ii	janma bhuum ii	bhuum	bhuum
जब	jab	jab	jab	jab	jab	jab
जबकि	jabki	jabki	jab ki	jab ki	ki	ki
जबाब	jabaab	jabaab	jabaab	jabaab	jabaab	jabaab
जमा	jamaa	jamaa	jamaa	jamaa	jamaa	jamaa
जमाव	jamaav	jamaav	jamaav	jamaav	jamaav	jamaav
जमींदोज	jamiindoj	jamiindoj	jamiin doj	jamiin doj	jamiin	jamiin
जमीन	jamiin	jamiin	jamiin	jamiin	jamiin	jamiin
जय	jay	jay	jay	jay	jay	jay
जरूर	jaruur	jaruur	jaruur	jaruur	jaruur	jaruur
जरूरत	jaruurat	jaruurat	jaruur at	jaruur at	jaruur	jaruur
जरूरतें	jaruurateng	jaruurateng	jaruur at eng	jaruur at eng	jaruur	jaruur
जरूरतों	jaruuratong	jaruuratong	jaruur at ong	jaruur at ong	jaruur	jaruur
जरूरी	jaruurii	jaruurii	jaruur ii	jaruur ii	jaruur	jaruur
जल	jal	jal	jal	jal	jal	jal
जलस्तर	jalastar	jalastar	jala star	jala star	star	star
जवान	javaan	javaan	javaan	javaan	javaan	javaan
जवानों	javaanong	javaanong	javaan ong	javaan ong	javaan	javaan
जहरीली	jahariilii	jahariilii	jahariil ii	jahariil ii	jahariil	jahariil
जहाँ	jahaang	jahaang	jahaang	jahaang	jahaang	jahaang
जहां	jahaang	jahaang	jahaang	jahaang	jahaang	jahaang
जा	jaa	jaa	jaa	jaa	jaa	jaa
जाइलो	jaailo	jaailo	jaail o	jaail o	jaail	jaail
जाए	jaae	jaae	jaa e	jaa e	jaa	jaa
जाएगा	jaaegaa	jaaegaa	jaa e g aa	jaa e g aa	jaa	jaa
जागेगी	jaagegii	jaagegii	jaag e g ii	jaag e g ii	jaag	jaag
जांच	jaanchh	jaanch	jaanchh	jaanch	jaanchh	jaanch
जांट	jaant	jaant	jaant	jaant	jaant	jaant
जातक	jaatak	jaatak	jaatak	jaatak	jaatak	jaatak
जाता	jaataa	jaataa	jaa t aa	jaa t aa	jaa	jaa
जातियां	jaatiyaang	jaatiyaang	jaat iy aang	jaat iy aang	jaat	jaat
जातिवादी	jaativaadii	jaativaadii	jaati vaad ii	jaati vaad ii	vaad	vaad
जाती	jaatii	jaatii	jaa t ii	jaa t ii	jaa	jaa
जातीय	jaatiiy	jaatiiy	jaat iiy	jaat iiy	jaat	jaat
जाते	jaate	jaate	jaa t e	jaa t e	jaa	jaa
जान	jaan	jaan	jaan	jaan	jaan	jaan
जानकारियों	jaanakaariyong	jaanakaariyong	jaana kaar iy ong	jaana kaar iy ong	kaar	kaar
जानकारी	jaanakaarii	jaanakaarii	jaana kaar ii	jaana kaar ii	kaar	kaar
जानते	jaante	jaante	jaan t e	jaan t e	jaan	jaan
जानने	jaanne	jaanne	jaan n e	jaan n e	jaan	jaan
जानमाल	jaanmaal	jaanmaal	jaan maal	jaan maal	maal	maal
जाना	jaanaa	jaanaa	jaa n aa	jaa n aa	jaa	jaa
जानिब	jaanib	jaanib	jaanib	jaanib	jaanib	jaanib
जानी	jaanii	jaanii	jaa n ii	jaa n ii	jaa	jaa
जाने	jaane	jaane	jaa n e	jaa n e	jaa	jaa
जानें	jaaneng	jaaneng	jaan e ng	jaan e ng	jaa	jaa
जाम	jaam	jaam	jaam	jaam	jaam	jaam
जाया	jaayaa	jaayaa	jaa yaa	jaa yaa	jaa	jaa
जाये	jaaye	jaaye	jaa ye	jaa ye	jaa	jaa
जायेगा	jaayegaa	jaayegaa	jaa ye g aa	jaa ye g aa	jaa	jaa
जाल	jaal	jaal	jaal	jaal	jaal	jaal
जालस्थल	jaalasthal	jaalasthal	jaala sthal	jaala sthal	sthal	sthal
जासूसी	jaasuusii	jaasuusii	jaasuus ii	jaasuus ii	jaasuus	jaasuus
जाहिर	jaahir	jaahir	jaahir	jaahir	jaahir	jaahir
जितना	jitnaa	jitnaa	jitn aa	jitn aa	jitn	jitn
जितनी	jitnii	jitnii	jitn ii	jitn ii	jitn	jitn
जिंदगी	jindagii	jindagii	jind ag ii	jind ag ii	jind	jind
ज़िंदगी	zindagii	zindagii	zind ag ii	zind ag ii	zind	zind
जिंदा	jindaa	jindaa	jind aa	jind aa	jind	jind
ज़िंदा	zindaa	zindaa	zind aa	zind aa	zind	zind
जिनकी	jinkii	jinkii	jin k ii	jin k ii	jin	jin
जिनके	jinke	jinke	jin k e	jin k e	jin	jin
जिनमें	jinmeng	jinmeng	jin meng	jin meng	jin	jin
जिन्दगी	jindagii	jindagii	jind ag ii	jind ag ii	jind	jind
जिन्हें	jinheng	jinheng	jin heng	jin heng	jin	jin
जिम्मेदार	jimmedaar	jimmedaar	jimme daar	jimme daar	daar	daar
ज़िम्मेदार	zimmedaar	zimmedaar	zimme daar	zimme daar	daar	daar
जिम्मेदारी	jimmedaarii	jimmedaarii	jimme daar ii	jimme daar ii	daar	daar
जिले	jile	jile	jil e	jil e	jil	jil
जिस	jis	jis	jis	jis	jis	jis
जिसका	jiskaa	jiskaa	jis k aa	jis k aa	jis	jis
जिसकी	jiskii	jiskii	jis k ii	jis k ii	jis	jis
जिसको	jisko	jisko	jis ko	jis ko	jis	jis
जिसने	jisne	jisne	jis ne	jis ne	jis	jis
जिसमें	jismeng	jismeng	jis meng	jis meng	jis	jis
जिससे	jisse	jisse	jis se	jis se	jis	jis
जिसे	jise	jise	jis e	jis e	jis	jis
जीत	jiit	jiit	jiit	jiit	jiit	jiit
जीता	jiitaa	jiitaa	jiit aa	jiit aa	jiit	jiit
जीते	jiite	jiite	jiit e	jiit e	jiit	jiit
जीने	jiine	jiine	jii n e	jii n e	jii	jii
जीले	jiile	jiile	jiil e	jiil e	jiil	jiil
जीवन	jiivan	jiivan	jiivan	jiivan	jiivan	jiivan
जीवित	jiivit	jiivit	jiiv it	jiiv it	jiiv	jiiv
जुटी	jutii	jutii	jut ii	jut ii	jut	jut
जुड़े	jure	jure	jur e	jur e	jur	jur
जूझ	juujh	juujh	juujh	juujh	juujh	juujh
जेब	jeb	jeb	jeb	jeb	jeb	jeb
जैनों	jainong	jainong	jain ong	jain ong	jain	jain
जैसा	jaisaa	jaisaa	jais aa	jais aa	jais	jais
जैसी	jaisii	jaisii	jais ii	jais ii	jais	jais
जैसे	jaise	jaise	jais e	jais e	jais	jais
जो	jo	jo	jo	jo	jo	jo
जोड़	jor	jor	jor	jor	jor	jor
जोड़ा	joraa	joraa	jor aa	jor aa	jor	jor
ज्यादा	jyaadaa	jyaadaa	jyaadaa	jyaadaa	jyaadaa	jyaadaa
ज्यादातर	jyaadaatar	jyaadaatar	jyaadaa tar	jyaadaa tar	jyaadaa	jyaadaa
ज्योतिष	jyotish	jyotish	jyotish	jyotish	jyotish	jyotish
ज्वाला	jvaalaa	jvaalaa	jvaalaa	jvaalaa	jvaalaa	jvaalaa
झटका	jhatkaa	jhatkaa	jhatk aa	jhatk aa	jhatk	jhatk
झटके	jhatke	jhatke	jhatk e	jhatk e	jhatk	jhatk
झटकों	jhatkong	jhatkong	jhatk ong	jhatk ong	jhatk	jhatk
झेलकर	jhelkar	jhelkar	jhel kar	jhel kar	jhel	jhel
टक्कर	takkar	takkar	takkar	takkar	takkar	takkar
टट्टूवाला	tattuuvaalaa	tattuuvaalaa	tattuu vaal aa	tattuu vaal aa	vaal	vaal
टिप्पणियों	tippaniyong	tippaniyong	tippan iy ong	tippan iy ong	tippan	tippan
टीका	tiikaa	tiikaa	tiik aa	tiik aa	tiik	tiik
टीके	tiike	tiike	tiik e	tiik e	tiik	tiik
टुकड़ों	tukrong	tukrong	tukr ong	tukr ong	tukr	tukr
टूट	tuut	tuut	tuut	tuut	tuut	tuut
टूटने	tuutne	tuutne	tuut n e	tuut n e	tuut	tuut
टूटे	tuute	tuute	tuut e	tuut e	tuut	tuut
टेकने	tekne	tekne	tekn e	tekn e	tekn	tekn
टोली	tolii	tolii	tol ii	tol ii	tol	tol
ठप	thap	thap	thap	thap	thap	thap
ठहराया	thaharaayaa	thaharaayaa	thahar aa yaa	thahar aa yaa	thahar	thahar
ठीक	thiik	thiik	thiik	thiik	thiik	thiik
ठूंस	thuuns	thuuns	thuuns	thuuns	thuuns	thuuns
डंगा	dangaa	dangaa	dang aa	dang aa	dang	dang
डबा	dabaa	dabaa	dab aa	dab aa	dab	dab
डर	dar	dar	dar	dar	dar	dar
डाल	daal	daal	daal	daal	daal	daal
डालते	daalte	daalte	daal t e	daal t e	daal	daal
डालने	daalne	daalne	daal n e	daal n e	daal	daal
डाली	daalii	daalii	daal ii	daal ii	daal	daal
डालें	daaleng	daaleng	daal e ng	daal e ng	daal	daal
डूबने	duubne	duubne	duub n e	duub n e	duub	duub
डॉक्टरों	doktarong	doktarong	doktar ong	doktar ong	doktar	doktar
ढलानों	dhalaanong	dhalaanong	dhalaan ong	dhalaan ong	dhalaan	dhalaan
ढाई	dhaaii	dhaaii	dhaaii	dhaaii	dhaaii	dhaaii
ढेर	dher	dher	dher	dher	dher	dher
ढोलबज्जा	dholabajjaa	dholabajjaa	dhola bajj aa	dhola bajj aa	bajj	bajj
तक	tak	tak	tak	tak	tak	tak
तकरीबन	takariiban	takariiban	takariib an	takariib an	takariib	takariib
तट	tat	tat	tat	tat	tat	tat
तटीय	tatiiy	tatiiy	tat iiy	tat iiy	tat	tat
तथा	tathaa	tathaa	tathaa	tathaa	tathaa	tathaa
तब	tab	tab	tab	tab	tab	tab
तबाह	tabaah	tabaah	tabaah	tabaah	tabaah	tabaah
तब्दील	tabdiil	tabdiil	tabdiil	tabdiil	tabdiil	tabdiil
तभी	tabhii	tabhii	tab hii	tab hii	tab	tab
तमाचा	tamaachhaa	tamaachaa	tamaachh aa	tamaach aa	tamaachh	tamaach
तमाम	tamaam	tamaam	tamaam	tamaam	tamaam	tamaam
तमीज	tamiij	tamiij	tamiij	tamiij	tamiij	tamiij
तरफ	taraph	taraph	taraph	taraph	taraph	taraph
तरह	tarah	tarah	tarah	tarah	tarah	tarah
तरीके	tariike	tariike	tariik e	tariik e	tariik	tariik
